,ds,yhat_manipulation_smooth,yhat_lower_manipulation_smooth,yhat_upper_manipulation_smooth
1253,2024-09-13,204000.0,193300.0,208300.0
1254,2024-09-14,204100.0,193900.0,208900.0
1255,2024-09-15,203800.0,194100.0,209100.0
1256,2024-09-16,203800.0,194000.0,209000.0
1257,2024-09-17,203700.0,194000.0,209000.0
1258,2024-09-18,203400.0,193300.0,208300.0
1259,2024-09-19,203600.0,193100.0,208100.0
1260,2024-09-20,203400.0,192800.0,207800.0
1261,2024-09-21,203100.0,192900.0,207900.0
1262,2024-09-22,202700.0,192800.0,207800.0
1263,2024-09-23,202600.0,192900.0,207900.0
1264,2024-09-24,202400.0,192200.0,207200.0
1265,2024-09-25,202400.0,191800.0,206800.0
1266,2024-09-26,202000.0,191600.0,206600.0
1267,2024-09-27,202000.0,191800.0,206800.0
1268,2024-09-28,201900.0,192000.0,207000.0
1269,2024-09-29,201800.0,192000.0,207000.0
1270,2024-09-30,201800.0,192100.0,207100.0
1271,2024-10-01,202100.0,192300.0,207300.0
1272,2024-10-02,202600.0,192600.0,207600.0
1273,2024-10-03,202600.0,192500.0,207500.0
1274,2024-10-04,202500.0,192700.0,207700.0
1275,2024-10-05,202400.0,192700.0,207700.0
1276,2024-10-06,202600.0,192700.0,207700.0
1277,2024-10-07,202700.0,192300.0,207300.0
1278,2024-10-08,203200.0,193200.0,208200.0
1279,2024-10-09,203100.0,193500.0,208500.0
1280,2024-10-10,203100.0,193600.0,208600.0
1281,2024-10-11,203500.0,193900.0,208900.0
1282,2024-10-12,204200.0,194800.0,209800.0
1283,2024-10-13,204800.0,194900.0,209900.0
1284,2024-10-14,205300.0,195400.0,210400.0
1285,2024-10-15,205100.0,195900.0,210900.0
1286,2024-10-16,205700.0,196700.0,211700.0
1287,2024-10-17,206600.0,196900.0,211900.0
1288,2024-10-18,207000.0,197000.0,212000.0
1289,2024-10-19,207100.0,197400.0,212400.0
1290,2024-10-20,207400.0,198200.0,213200.0
1291,2024-10-21,207800.0,198200.0,213200.0
1292,2024-10-22,208300.0,198300.0,213300.0
1293,2024-10-23,208300.0,198500.0,213500.0
1294,2024-10-24,208500.0,198700.0,213700.0
1295,2024-10-25,208600.0,198600.0,213600.0
1296,2024-10-26,209000.0,199200.0,214200.0
1297,2024-10-27,208800.0,198900.0,213900.0
1298,2024-10-28,209200.0,199400.0,214400.0
1299,2024-10-29,209800.0,200200.0,215200.0
1300,2024-10-30,210300.0,200900.0,215900.0
1301,2024-10-31,210500.0,200800.0,215800.0
1302,2024-11-01,211200.0,201800.0,216800.0
1303,2024-11-02,211400.0,202300.0,217300.0
1304,2024-11-03,212200.0,202300.0,217300.0
1305,2024-11-04,212700.0,202800.0,217800.0
1306,2024-11-05,212600.0,203100.0,218100.0
1307,2024-11-06,213000.0,203500.0,218500.0
1308,2024-11-07,213100.0,203300.0,218300.0
1309,2024-11-08,213700.0,203900.0,218900.0
1310,2024-11-09,214100.0,204100.0,219100.0
1311,2024-11-10,214200.0,204600.0,219600.0
1312,2024-11-11,214600.0,205100.0,220100.0
1313,2024-11-12,215100.0,205900.0,220900.0
1314,2024-11-13,215200.0,205600.0,220600.0
1315,2024-11-14,215900.0,205900.0,220900.0
1316,2024-11-15,216000.0,206400.0,221400.0
1317,2024-11-16,216300.0,206400.0,221400.0
1318,2024-11-17,216800.0,207000.0,222000.0
1319,2024-11-18,217100.0,207800.0,222800.0
1320,2024-11-19,217500.0,208100.0,223100.0
1321,2024-11-20,217800.0,208200.0,223200.0
1322,2024-11-21,218000.0,208300.0,223300.0
1323,2024-11-22,218200.0,208300.0,223300.0
1324,2024-11-23,218100.0,207800.0,222800.0
1325,2024-11-24,218000.0,207700.0,222700.0
1326,2024-11-25,217800.0,207700.0,222700.0
1327,2024-11-26,218000.0,208100.0,223100.0
1328,2024-11-27,218100.0,208100.0,223100.0
1329,2024-11-28,218000.0,208200.0,223200.0
1330,2024-11-29,217900.0,208100.0,223100.0
1331,2024-11-30,218500.0,208800.0,223800.0
1332,2024-12-01,219000.0,209200.0,224200.0
1333,2024-12-02,219500.0,209700.0,224700.0
1334,2024-12-03,219600.0,210300.0,225300.0
1335,2024-12-04,219700.0,210600.0,225600.0
1336,2024-12-05,220300.0,210600.0,225600.0
1337,2024-12-06,220500.0,210200.0,225200.0
1338,2024-12-07,220600.0,210500.0,225500.0
1339,2024-12-08,220600.0,210600.0,225600.0
1340,2024-12-09,220800.0,211100.0,226100.0
1341,2024-12-10,221100.0,211400.0,226400.0
1342,2024-12-11,221400.0,211900.0,226900.0
1343,2024-12-12,221200.0,211500.0,226500.0
1344,2024-12-13,221500.0,211400.0,226400.0
