,ds,yhat_manipulation_smooth,yhat_lower_manipulation_smooth,yhat_upper_manipulation_smooth
1254,2024-09-14,205600.0,195700.0,207700.0
1255,2024-09-15,205300.0,195400.0,207400.0
1256,2024-09-16,205100.0,194600.0,206600.0
1257,2024-09-17,205200.0,194800.0,206800.0
1258,2024-09-18,204700.0,194500.0,206500.0
1259,2024-09-19,204500.0,194200.0,206200.0
1260,2024-09-20,204600.0,194600.0,206600.0
1261,2024-09-21,204400.0,194700.0,206700.0
1262,2024-09-22,204400.0,194300.0,206300.0
1263,2024-09-23,204500.0,194400.0,206400.0
1264,2024-09-24,204100.0,194200.0,206200.0
1265,2024-09-25,204000.0,193600.0,205600.0
1266,2024-09-26,203900.0,193500.0,205500.0
1267,2024-09-27,203800.0,193800.0,205800.0
1268,2024-09-28,204000.0,194000.0,206000.0
1269,2024-09-29,203800.0,193900.0,205900.0
1270,2024-09-30,203700.0,194100.0,206100.0
1271,2024-10-01,203800.0,193900.0,205900.0
1272,2024-10-02,203700.0,193500.0,205500.0
1273,2024-10-03,203700.0,193100.0,205100.0
1274,2024-10-04,203700.0,193600.0,205600.0
1275,2024-10-05,203400.0,193500.0,205500.0
1276,2024-10-06,203500.0,193500.0,205500.0
1277,2024-10-07,203500.0,193800.0,205800.0
1278,2024-10-08,203700.0,193900.0,205900.0
1279,2024-10-09,204300.0,194300.0,206300.0
1280,2024-10-10,204600.0,194900.0,206900.0
1281,2024-10-11,204700.0,195400.0,207400.0
1282,2024-10-12,205100.0,195700.0,207700.0
1283,2024-10-13,205500.0,196100.0,208100.0
1284,2024-10-14,205800.0,195900.0,207900.0
1285,2024-10-15,206500.0,196500.0,208500.0
1286,2024-10-16,206500.0,196800.0,208800.0
1287,2024-10-17,206600.0,197000.0,209000.0
1288,2024-10-18,207300.0,197800.0,209800.0
1289,2024-10-19,207800.0,198500.0,210500.0
1290,2024-10-20,208400.0,198800.0,210800.0
1291,2024-10-21,208700.0,198900.0,210900.0
1292,2024-10-22,208800.0,199500.0,211500.0
1293,2024-10-23,209300.0,199600.0,211600.0
1294,2024-10-24,209600.0,199600.0,211600.0
1295,2024-10-25,209400.0,199200.0,211200.0
1296,2024-10-26,209800.0,200100.0,212100.0
1297,2024-10-27,210000.0,200500.0,212500.0
1298,2024-10-28,210300.0,200400.0,212400.0
1299,2024-10-29,210400.0,200700.0,212700.0
1300,2024-10-30,210500.0,201100.0,213100.0
1301,2024-10-31,210900.0,201100.0,213100.0
1302,2024-11-01,211500.0,201200.0,213200.0
1303,2024-11-02,211400.0,201700.0,213700.0
1304,2024-11-03,211800.0,202400.0,214400.0
1305,2024-11-04,212400.0,203000.0,215000.0
1306,2024-11-05,212600.0,203000.0,215000.0
1307,2024-11-06,213000.0,203200.0,215200.0
1308,2024-11-07,213400.0,203900.0,215900.0
1309,2024-11-08,213700.0,204000.0,216000.0
1310,2024-11-09,214100.0,204100.0,216100.0
1311,2024-11-10,214000.0,204400.0,216400.0
1312,2024-11-11,214500.0,205000.0,217000.0
1313,2024-11-12,214700.0,204700.0,216700.0
1314,2024-11-13,215100.0,205200.0,217200.0
1315,2024-11-14,214800.0,205000.0,217000.0
1316,2024-11-15,214900.0,205200.0,217200.0
1317,2024-11-16,215700.0,205700.0,217700.0
1318,2024-11-17,216300.0,206600.0,218600.0
1319,2024-11-18,216200.0,206500.0,218500.0
1320,2024-11-19,216600.0,207200.0,219200.0
1321,2024-11-20,216600.0,207700.0,219700.0
1322,2024-11-21,217100.0,207100.0,219100.0
1323,2024-11-22,217400.0,206800.0,218800.0
1324,2024-11-23,217000.0,206900.0,218900.0
1325,2024-11-24,216900.0,207100.0,219100.0
1326,2024-11-25,217400.0,207500.0,219500.0
1327,2024-11-26,217200.0,207300.0,219300.0
1328,2024-11-27,217100.0,207100.0,219100.0
1329,2024-11-28,217300.0,207500.0,219500.0
1330,2024-11-29,217100.0,207000.0,219000.0
1331,2024-11-30,217500.0,207100.0,219100.0
1332,2024-12-01,217600.0,207600.0,219600.0
1333,2024-12-02,217500.0,208200.0,220200.0
1334,2024-12-03,217700.0,207900.0,219900.0
1335,2024-12-04,218400.0,208900.0,220900.0
1336,2024-12-05,218700.0,209100.0,221100.0
1337,2024-12-06,219300.0,209400.0,221400.0
1338,2024-12-07,219500.0,209900.0,221900.0
1339,2024-12-08,219800.0,210600.0,222600.0
1340,2024-12-09,219800.0,210100.0,222100.0
1341,2024-12-10,220200.0,209900.0,221900.0
1342,2024-12-11,220200.0,210300.0,222300.0
1343,2024-12-12,220100.0,209900.0,221900.0
1344,2024-12-13,220100.0,209700.0,221700.0
1345,2024-12-14,219800.0,210000.0,222000.0
