,ds,yhat_manipulation_smooth,yhat_lower_manipulation_smooth,yhat_upper_manipulation_smooth
1268,2024-09-28,209400.0,200900.0,212900.0
1269,2024-09-29,209600.0,201100.0,213100.0
1270,2024-09-30,209700.0,201000.0,213000.0
1271,2024-10-01,209800.0,200500.0,212500.0
1272,2024-10-02,209500.0,200300.0,212300.0
1273,2024-10-03,210100.0,201200.0,213200.0
1274,2024-10-04,210200.0,201100.0,213100.0
1275,2024-10-05,210500.0,202000.0,214000.0
1276,2024-10-06,210700.0,202300.0,214300.0
1277,2024-10-07,211100.0,203100.0,215100.0
1278,2024-10-08,211100.0,201900.0,213900.0
1279,2024-10-09,211600.0,202300.0,214300.0
1280,2024-10-10,210700.0,201400.0,213400.0
1281,2024-10-11,210800.0,201200.0,213200.0
1282,2024-10-12,211000.0,202000.0,214000.0
1283,2024-10-13,211300.0,202600.0,214600.0
1284,2024-10-14,211400.0,202900.0,214900.0
1285,2024-10-15,211900.0,203600.0,215600.0
1286,2024-10-16,212600.0,204800.0,216800.0
1287,2024-10-17,213100.0,204300.0,216300.0
1288,2024-10-18,213600.0,204500.0,216500.0
1289,2024-10-19,213400.0,204700.0,216700.0
1290,2024-10-20,213900.0,205400.0,217400.0
1291,2024-10-21,214600.0,205700.0,217700.0
1292,2024-10-22,215200.0,206500.0,218500.0
1293,2024-10-23,214900.0,206500.0,218500.0
1294,2024-10-24,215500.0,207300.0,219300.0
1295,2024-10-25,215700.0,207000.0,219000.0
1296,2024-10-26,216200.0,206900.0,218900.0
1297,2024-10-27,216600.0,207300.0,219300.0
1298,2024-10-28,216700.0,208300.0,220300.0
1299,2024-10-29,216800.0,208200.0,220200.0
1300,2024-10-30,217200.0,208700.0,220700.0
1301,2024-10-31,217400.0,209000.0,221000.0
1302,2024-11-01,217700.0,208600.0,220600.0
1303,2024-11-02,218400.0,209300.0,221300.0
1304,2024-11-03,219000.0,210500.0,222500.0
1305,2024-11-04,219000.0,210700.0,222700.0
1306,2024-11-05,219400.0,211000.0,223000.0
1307,2024-11-06,219700.0,211600.0,223600.0
1308,2024-11-07,220300.0,211500.0,223500.0
1309,2024-11-08,220900.0,211200.0,223200.0
1310,2024-11-09,220800.0,211900.0,223900.0
1311,2024-11-10,220500.0,212100.0,224100.0
1312,2024-11-11,220900.0,212300.0,224300.0
1313,2024-11-12,221300.0,212400.0,224400.0
1314,2024-11-13,221600.0,212600.0,224600.0
1315,2024-11-14,221900.0,213100.0,225100.0
1316,2024-11-15,222300.0,213800.0,225800.0
1317,2024-11-16,222500.0,214200.0,226200.0
1318,2024-11-17,223400.0,215000.0,227000.0
1319,2024-11-18,223600.0,215100.0,227100.0
1320,2024-11-19,223700.0,215000.0,227000.0
1321,2024-11-20,224000.0,214900.0,226900.0
1322,2024-11-21,224000.0,215200.0,227200.0
1323,2024-11-22,224100.0,214800.0,226800.0
1324,2024-11-23,224300.0,215200.0,227200.0
1325,2024-11-24,223800.0,215100.0,227100.0
1326,2024-11-25,224200.0,215400.0,227400.0
1327,2024-11-26,224400.0,215500.0,227500.0
1328,2024-11-27,224700.0,215700.0,227700.0
1329,2024-11-28,224500.0,215600.0,227600.0
1330,2024-11-29,225000.0,216500.0,228500.0
1331,2024-11-30,225200.0,216600.0,228600.0
1332,2024-12-01,225300.0,216300.0,228300.0
1333,2024-12-02,225400.0,216400.0,228400.0
1334,2024-12-03,225100.0,216300.0,228300.0
1335,2024-12-04,225000.0,215700.0,227700.0
1336,2024-12-05,225600.0,216100.0,228100.0
1337,2024-12-06,225200.0,216500.0,228500.0
1338,2024-12-07,225400.0,216700.0,228700.0
1339,2024-12-08,225700.0,217100.0,229100.0
1340,2024-12-09,225900.0,217600.0,229600.0
1341,2024-12-10,226400.0,217500.0,229500.0
1342,2024-12-11,227100.0,218300.0,230300.0
1343,2024-12-12,226800.0,218000.0,230000.0
1344,2024-12-13,227000.0,218300.0,230300.0
1345,2024-12-14,227200.0,218600.0,230600.0
1346,2024-12-15,227800.0,219000.0,231000.0
1347,2024-12-16,228200.0,219100.0,231100.0
1348,2024-12-17,228100.0,219300.0,231300.0
1349,2024-12-18,227900.0,219600.0,231600.0
1350,2024-12-19,228400.0,219600.0,231600.0
1351,2024-12-20,228700.0,219600.0,231600.0
1352,2024-12-21,229000.0,219700.0,231700.0
1353,2024-12-22,229300.0,220800.0,232800.0
1354,2024-12-23,229000.0,220700.0,232700.0
1355,2024-12-24,229500.0,220800.0,232800.0
1356,2024-12-25,229900.0,221400.0,233400.0
1357,2024-12-26,230200.0,221300.0,233300.0
1358,2024-12-27,230800.0,221600.0,233600.0
1359,2024-12-28,230700.0,222100.0,234100.0
