,ds,Prophet_Prediction,XGBoost_Residuals,Hybrid_Prediction,yhat_manipulation_smooth
0,2024-10-18,791240.9174717889,1013.1723,792254.089774035,203772.33167303615
1,2024-10-21,791759.0570615889,-5011.6045,796770.6615537764,204934.02004373175
2,2024-10-22,791429.4399965003,-5104.5127,796533.9526918128,204873.13715609183
3,2024-10-23,791478.7317334993,801.1792,792279.9109327181,203778.9730243138
4,2024-10-24,791487.2101878921,-6233.6113,797720.8215160171,205178.4066786097
5,2024-10-25,791916.695012158,4114.2188,796030.913762158,204743.75263546754
6,2024-10-28,792756.533175993,4003.5918,796760.124972868,204931.30997421333
7,2024-10-29,792536.3634969865,4536.2144,797072.5778524552,205011.6746610395
8,2024-10-30,792692.7524993245,7705.11,800397.8623626058,205866.9570595221
9,2024-10-31,792803.8901173653,4613.1074,797416.9975392403,205100.26139546747
10,2024-11-01,793329.570865462,1781.438,795111.0088537432,204507.147775329
11,2024-11-04,794400.9562153578,-3077.569,797478.5253071546,205116.0866930486
12,2024-11-05,794233.8534238318,3000.6108,797234.4642636755,205053.3127818221
13,2024-11-06,794429.3327620355,12825.053,807254.3854964105,207630.49444503945
14,2024-11-07,794564.8793390756,3101.8474,797666.726751185,205164.4931923893
15,2024-11-08,795099.9119347465,2112.476,797212.3880089653,205047.63464149443
16,2024-11-11,796110.3761745521,168.0963,796278.4724727699,204807.42616689953
17,2024-11-12,795895.4521209328,5736.6763,801632.128390464,206184.41741680878
18,2024-11-13,796031.2204768094,3484.3289,799515.5493342313,205640.02104823734
19,2024-11-14,796096.7108980464,-13909.569,810006.2802339839,208338.297679421
20,2024-11-15,796553.1200843116,-7490.9224,804044.0424475928,206804.77565485373
21,2024-11-18,797296.6335553629,-9183.437,806480.0700788004,207431.33604354504
22,2024-11-19,796989.6278245832,-10492.444,807482.0721605207,207689.05677123685
23,2024-11-20,797035.447581868,-9100.116,806135.5637928055,207342.7270352997
24,2024-11-21,797015.2441737719,-6670.9297,803686.1738612719,206712.72978572108
25,2024-11-22,797392.2005860507,-9967.744,807359.9447266757,207657.6448892699
26,2024-11-25,797951.5909337113,-7723.7705,805675.3614415238,207224.36033025832
27,2024-11-26,797605.562451248,-7669.8687,805275.4311035918,207121.49593546495
28,2024-11-27,797624.8925316265,-8353.24,805978.1327660015,207302.2348651442
29,2024-11-28,797591.0307042632,-134.18445,797725.2151525054,205179.53674731278
30,2024-11-29,797967.097986202,-10668.351,808635.4485721395,207985.71185162815
31,2024-12-02,798594.4984999427,1031.1188,799625.6172743568,205668.33115870735
32,2024-12-03,798291.0609531761,-7187.546,805478.6068516136,207173.7539123542
33,2024-12-04,798360.3913903434,2244.0474,800604.4387536247,205920.0897014483
34,2024-12-05,798382.0501001294,635.92285,799017.972951692,205512.04152630846
35,2024-12-06,798817.0958061173,-334.88626,799151.9820671036,205546.50944545883
36,2024-12-09,799620.1168986158,-194.28659,799814.403489192,205716.88806447943
37,2024-12-10,799367.3571515775,-1613.154,800980.5112043119,206016.81770972704
38,2024-12-11,799479.8947658467,1906.6593,801386.5540676045,206121.25428137786
39,2024-12-12,799535.390882096,4112.395,803647.7859016273,206702.8561805912
40,2024-12-13,799993.2292861847,-4969.623,804962.8523330597,207041.09886876002
41,2024-12-16,800785.9028601479,-12026.175,812812.0776648354,209059.96499810898
42,2024-12-17,800500.9723010721,-5221.818,805722.7901721658,207236.55927395073
43,2024-12-18,800566.656533549,-6463.3667,807030.0232327677,207572.78717385957
44,2024-12-19,800560.9977857468,252.19487,800813.1926557419,205973.78241181653
45,2024-12-20,800944.1411580801,-7856.378,808800.5190877676,208028.1689424708
46,2024-12-23,801444.4303635439,-9044.516,810488.9459885439,208462.44210163972
47,2024-12-24,801045.1529930269,-2004.7666,803049.9195945894,206549.08151033532
48,2024-12-25,800991.6296981017,-2900.5864,803892.2161238829,206765.7250467331
49,2024-12-26,800864.3324397723,60.33864,800924.671078078,206002.45530646466
50,2024-12-27,801125.9437826633,3026.622,804152.5658529758,206832.68850205946
51,2024-12-30,801287.9706812514,1709.8625,802997.8332300795,206535.68459628776
52,2024-12-31,800792.950886558,-4994.5234,805787.474324058,207253.19641173707
53,2025-01-01,800655.9295603494,-6526.2095,807182.1390330057,207611.9122370166
54,2025-01-02,800459.2763550509,1021.9085,801481.1848633516,206145.59386907626
55,2025-01-03,800667.2717589968,662.30945,801329.581207239,206106.60053234882
56,2025-01-06,800773.5759172068,688.8266,801462.4025163279,206140.76294084665
57,2025-01-07,800296.633687189,-4265.242,804561.875874689,206937.9654057425
58,2025-01-08,800195.7950628849,-6812.944,807008.7389105412,207567.31272314463
59,2025-01-09,800052.6789826298,3033.452,803086.1308869267,206558.3952640511
60,2025-01-10,800330.4195184893,57.303528,800387.7230463213,205864.3491687614
61,2025-01-13,800726.3807147032,6099.788,806826.1688006407,207520.35463549523
62,2025-01-14,800365.670501727,7103.331,807469.0015564145,207685.6949363035
63,2025-01-15,800386.74803705,5223.907,805610.6552636125,207207.71752725256
64,2025-01-16,800368.4998834447,2487.8132,802856.3131158666,206499.2848048269
65,2025-01-17,800771.2532206252,-9863.995,810635.2483378127,208500.07191160164
66,2025-01-20,801515.265633161,897.8985,802413.1641316961,206385.30432438693
67,2025-01-21,801252.7993718468,5472.9897,806725.7891179406,207494.53640083992
