,ds,yhat_manipulation_smooth,yhat_lower_manipulation_smooth,yhat_upper_manipulation_smooth
2802,2024-10-03,201700.0,193600.0,205600.0
2803,2024-10-04,201600.0,195200.0,207200.0
2804,2024-10-05,201300.0,193100.0,205100.0
2805,2024-10-06,201100.0,190800.0,202800.0
2806,2024-10-07,201200.0,190900.0,202900.0
2807,2024-10-08,201000.0,190600.0,202600.0
2808,2024-10-09,200900.0,190700.0,202700.0
2809,2024-10-10,200700.0,192700.0,204700.0
2810,2024-10-11,200900.0,195000.0,207000.0
2811,2024-10-12,200900.0,192600.0,204600.0
2812,2024-10-13,201000.0,190800.0,202800.0
2813,2024-10-14,200800.0,190600.0,202600.0
2814,2024-10-15,200700.0,190600.0,202600.0
2815,2024-10-16,200800.0,190500.0,202500.0
2816,2024-10-17,200900.0,192600.0,204600.0
2817,2024-10-18,200700.0,194600.0,206600.0
2818,2024-10-19,200800.0,192700.0,204700.0
2819,2024-10-20,200900.0,191100.0,203100.0
2820,2024-10-21,201000.0,191000.0,203000.0
2821,2024-10-22,201200.0,191100.0,203100.0
2822,2024-10-23,201200.0,191200.0,203200.0
2823,2024-10-24,201500.0,193500.0,205500.0
2824,2024-10-25,201700.0,195600.0,207600.0
2825,2024-10-26,201900.0,193900.0,205900.0
2826,2024-10-27,202100.0,192300.0,204300.0
2827,2024-10-28,202300.0,192600.0,204600.0
2828,2024-10-29,202600.0,192700.0,204700.0
2829,2024-10-30,203100.0,193200.0,205200.0
2830,2024-10-31,203200.0,195500.0,207500.0
2831,2024-11-01,203500.0,197500.0,209500.0
2832,2024-11-02,203800.0,195900.0,207900.0
2833,2024-11-03,203800.0,194000.0,206000.0
2834,2024-11-04,204000.0,193700.0,205700.0
2835,2024-11-05,204300.0,194100.0,206100.0
2836,2024-11-06,204800.0,195100.0,207100.0
2837,2024-11-07,204900.0,197100.0,209100.0
2838,2024-11-08,205200.0,199500.0,211500.0
2839,2024-11-09,205600.0,198100.0,210100.0
2840,2024-11-10,205800.0,196100.0,208100.0
2841,2024-11-11,206000.0,195400.0,207400.0
2842,2024-11-12,206100.0,195700.0,207700.0
2843,2024-11-13,205600.0,195600.0,207600.0
2844,2024-11-14,206000.0,197700.0,209700.0
2845,2024-11-15,206400.0,200400.0,212400.0
2846,2024-11-16,206500.0,198800.0,210800.0
2847,2024-11-17,206900.0,197200.0,209200.0
2848,2024-11-18,207200.0,197700.0,209700.0
2849,2024-11-19,207700.0,198100.0,210100.0
2850,2024-11-20,208600.0,198800.0,210800.0
2851,2024-11-21,208700.0,200700.0,212700.0
2852,2024-11-22,209100.0,203400.0,215400.0
2853,2024-11-23,209200.0,201700.0,213700.0
2854,2024-11-24,209500.0,199800.0,211800.0
2855,2024-11-25,209900.0,199500.0,211500.0
2856,2024-11-26,209900.0,199800.0,211800.0
2857,2024-11-27,209500.0,199300.0,211300.0
2858,2024-11-28,209900.0,201600.0,213600.0
2859,2024-11-29,209700.0,203600.0,215600.0
2860,2024-11-30,209700.0,201400.0,213400.0
2861,2024-12-01,209900.0,199900.0,211900.0
2862,2024-12-02,210100.0,200400.0,212400.0
2863,2024-12-03,210300.0,200400.0,212400.0
2864,2024-12-04,210900.0,201100.0,213100.0
2865,2024-12-05,211100.0,203500.0,215500.0
2866,2024-12-06,211400.0,205700.0,217700.0
2867,2024-12-07,211700.0,203600.0,215600.0
2868,2024-12-08,212100.0,202300.0,214300.0
2869,2024-12-09,212400.0,202400.0,214400.0
2870,2024-12-10,213000.0,203100.0,215100.0
2871,2024-12-11,213200.0,203700.0,215700.0
2872,2024-12-12,213600.0,206200.0,218200.0
2873,2024-12-13,214200.0,208700.0,220700.0
2874,2024-12-14,214900.0,207100.0,219100.0
2875,2024-12-15,214800.0,204800.0,216800.0
2876,2024-12-16,215000.0,204800.0,216800.0
2877,2024-12-17,215200.0,205200.0,217200.0
2878,2024-12-18,215500.0,205500.0,217500.0
2879,2024-12-19,215700.0,207400.0,219400.0
2880,2024-12-20,216200.0,210700.0,222700.0
2881,2024-12-21,216100.0,208700.0,220700.0
2882,2024-12-22,216700.0,206800.0,218800.0
2883,2024-12-23,216800.0,206600.0,218600.0
2884,2024-12-24,217100.0,207200.0,219200.0
2885,2024-12-25,217300.0,207100.0,219100.0
2886,2024-12-26,218100.0,210100.0,222100.0
2887,2024-12-27,218200.0,212800.0,224800.0
2888,2024-12-28,219100.0,212000.0,224000.0
2889,2024-12-29,219500.0,210200.0,222200.0
2890,2024-12-30,219900.0,210200.0,222200.0
2891,2024-12-31,220500.0,210700.0,222700.0
2892,2025-01-01,221000.0,211000.0,223000.0
2893,2025-01-02,221200.0,213000.0,225000.0
2894,2025-01-03,221500.0,215500.0,227500.0
