,ds,yhat_manipulation_smooth,yhat_lower_manipulation_smooth,yhat_upper_manipulation_smooth
1269,2024-09-29,211900.0,202700.0,214700.0
1270,2024-09-30,211800.0,202100.0,214100.0
1271,2024-10-01,211600.0,202900.0,214900.0
1272,2024-10-02,211600.0,202800.0,214800.0
1273,2024-10-03,211700.0,202300.0,214300.0
1274,2024-10-04,211900.0,202900.0,214900.0
1275,2024-10-05,211900.0,203500.0,215500.0
1276,2024-10-06,212100.0,203400.0,215400.0
1277,2024-10-07,212200.0,203000.0,215000.0
1278,2024-10-08,212400.0,203800.0,215800.0
1279,2024-10-09,212800.0,204100.0,216100.0
1280,2024-10-10,213500.0,204600.0,216600.0
1281,2024-10-11,214300.0,206000.0,218000.0
1282,2024-10-12,214700.0,206900.0,218900.0
1283,2024-10-13,215100.0,207200.0,219200.0
1284,2024-10-14,216000.0,207400.0,219400.0
1285,2024-10-15,216300.0,207700.0,219700.0
1286,2024-10-16,216600.0,207400.0,219400.0
1287,2024-10-17,217200.0,208100.0,220100.0
1288,2024-10-18,217000.0,208700.0,220700.0
1289,2024-10-19,217400.0,208900.0,220900.0
1290,2024-10-20,217800.0,209400.0,221400.0
1291,2024-10-21,218100.0,209400.0,221400.0
1292,2024-10-22,218400.0,209300.0,221300.0
1293,2024-10-23,218400.0,209200.0,221200.0
1294,2024-10-24,218300.0,209400.0,221400.0
1295,2024-10-25,219100.0,210500.0,222500.0
1296,2024-10-26,219500.0,210900.0,222900.0
1297,2024-10-27,220000.0,211600.0,223600.0
1298,2024-10-28,220200.0,212100.0,224100.0
1299,2024-10-29,220800.0,212900.0,224900.0
1300,2024-10-30,221800.0,213000.0,225000.0
1301,2024-10-31,222300.0,213400.0,225400.0
1302,2024-11-01,222500.0,214000.0,226000.0
1303,2024-11-02,222900.0,214600.0,226600.0
1304,2024-11-03,223600.0,215500.0,227500.0
1305,2024-11-04,224700.0,216100.0,228100.0
1306,2024-11-05,225000.0,216600.0,228600.0
1307,2024-11-06,225300.0,217000.0,229000.0
1308,2024-11-07,225900.0,217600.0,229600.0
1309,2024-11-08,225800.0,217000.0,229000.0
1310,2024-11-09,226900.0,217800.0,229800.0
1311,2024-11-10,227000.0,218300.0,230300.0
1312,2024-11-11,227400.0,219000.0,231000.0
1313,2024-11-12,228200.0,219700.0,231700.0
1314,2024-11-13,228800.0,221200.0,233200.0
1315,2024-11-14,229300.0,221000.0,233000.0
1316,2024-11-15,230200.0,221400.0,233400.0
1317,2024-11-16,230200.0,221700.0,233700.0
1318,2024-11-17,231100.0,222500.0,234500.0
1319,2024-11-18,231300.0,222500.0,234500.0
1320,2024-11-19,231500.0,222700.0,234700.0
1321,2024-11-20,231700.0,223300.0,235300.0
1322,2024-11-21,232300.0,223900.0,235900.0
1323,2024-11-22,233000.0,224000.0,236000.0
1324,2024-11-23,233000.0,224000.0,236000.0
1325,2024-11-24,233100.0,224600.0,236600.0
1326,2024-11-25,233100.0,224500.0,236500.0
1327,2024-11-26,233700.0,224700.0,236700.0
1328,2024-11-27,233700.0,224300.0,236300.0
1329,2024-11-28,233300.0,224300.0,236300.0
1330,2024-11-29,233400.0,224600.0,236600.0
1331,2024-11-30,233900.0,225200.0,237200.0
1332,2024-12-01,233800.0,224700.0,236700.0
1333,2024-12-02,233600.0,224400.0,236400.0
1334,2024-12-03,233700.0,225300.0,237300.0
1335,2024-12-04,233700.0,224600.0,236600.0
1336,2024-12-05,234500.0,225100.0,237100.0
1337,2024-12-06,234400.0,225500.0,237500.0
1338,2024-12-07,234900.0,227100.0,239100.0
1339,2024-12-08,235000.0,226600.0,238600.0
1340,2024-12-09,236000.0,227500.0,239500.0
1341,2024-12-10,236400.0,227900.0,239900.0
1342,2024-12-11,237200.0,228500.0,240500.0
1343,2024-12-12,237000.0,228000.0,240000.0
1344,2024-12-13,237500.0,228900.0,240900.0
1345,2024-12-14,237800.0,229700.0,241700.0
1346,2024-12-15,238700.0,229900.0,241900.0
1347,2024-12-16,239100.0,230300.0,242300.0
1348,2024-12-17,239400.0,231300.0,243300.0
1349,2024-12-18,239800.0,231700.0,243700.0
1350,2024-12-19,240200.0,231300.0,243300.0
1351,2024-12-20,240300.0,231200.0,243200.0
1352,2024-12-21,240500.0,231500.0,243500.0
1353,2024-12-22,240500.0,231300.0,243300.0
1354,2024-12-23,241100.0,232100.0,244100.0
1355,2024-12-24,241200.0,232800.0,244800.0
1356,2024-12-25,241300.0,233100.0,245100.0
1357,2024-12-26,242100.0,233600.0,245600.0
1358,2024-12-27,243000.0,234700.0,246700.0
1359,2024-12-28,243400.0,234800.0,246800.0
1360,2024-12-29,244500.0,235900.0,247900.0
