,ds,Prophet_Prediction,XGBoost_Residuals,Hybrid_Prediction,yhat_manipulation_smooth
0,2024-10-11,774692.9420057943,4556.697,779249.638783138,200427.51170334863
1,2024-10-14,775058.3394783459,-7088.8496,782147.1890877209,201172.77839155617
2,2024-10-15,774657.8475121438,-3786.3333,778444.1807640969,200220.34324474016
3,2024-10-16,774616.4780519649,7321.512,781937.9902589961,201118.9712434925
4,2024-10-17,774531.5786073442,920.86096,775452.4395692582,199450.85011506957
5,2024-10-18,774858.6362757264,3926.9277,778785.5640101014,200308.1489890466
6,2024-10-21,775377.864450199,-2410.289,777788.153512699,200051.60924338392
7,2024-10-22,775051.3015857271,4364.656,779415.9573474459,200470.28979952633
8,2024-10-23,775093.8412291857,15635.239,790729.0804869982,203380.09046878922
9,2024-10-24,775101.6081487557,3113.3035,778214.9116155526,200161.37389439842
10,2024-10-25,775528.6203290563,3760.2627,779288.8830243688,200437.60554905236
11,2024-10-28,776373.749272199,-2182.69,778556.4392136052,200249.2167668861
12,2024-10-29,776157.8862189543,5869.1924,782027.0786017668,201141.8852802461
13,2024-10-30,776308.6572068605,3711.8582,780020.5153611574,200625.78561542137
14,2024-10-31,776420.0746095863,-14489.203,790909.2777345863,203426.43824253508
15,2024-11-01,776944.1090941216,-10086.007,787030.1159300591,202428.69540214035
16,2024-11-04,778022.0980355873,-11624.591,789646.6888558998,203101.6930842895
17,2024-11-05,777859.3102309688,-9759.791,787619.1012465938,202580.18583030044
18,2024-11-06,778048.9556564718,-13181.734,791230.6900314718,203509.10734328208
19,2024-11-07,778184.3430247649,-8398.808,786583.1506419524,202313.7333462671
20,2024-11-08,778717.0732727458,-11506.368,790223.4414368083,203250.03718213277
21,2024-11-11,779731.0022308341,-9962.54,789693.5422698966,203113.744053215
22,2024-11-12,779519.0232813181,-5423.0786,784942.1018945994,201891.64612203755
23,2024-11-13,779647.4694824857,-10659.09,790306.5593262357,203271.41558377305
24,2024-11-14,779711.2252166927,433.02716,780144.2523773372,200657.6114912694
25,2024-11-15,780163.7029795479,-10310.985,790474.6883311104,203314.65933573016
26,2024-11-18,780905.8309318314,3253.4849,784159.3157951126,201690.309012198
27,2024-11-19,780600.2871495569,-8368.823,788969.1103917444,202927.41598643095
28,2024-11-20,780637.4269349673,4475.2217,785112.6486146548,201935.5117243152
29,2024-11-21,780614.2884618411,2483.5923,783097.8807469973,201417.30178198527
30,2024-11-22,780986.2994636402,-10862.552,791848.8512214527,203668.1019747495
31,2024-11-25,781542.6080557803,570.1799,782112.7879263858,201163.93021399798
32,2024-11-26,781197.9756298609,-1882.4047,783080.3802929468,201412.8005640386
33,2024-11-27,781208.8211027763,1464.8573,782673.678402581,201308.19448681493
34,2024-11-28,781172.4787673256,5954.3125,787126.7912673256,202453.56085773642
35,2024-11-29,781544.3062260471,-4345.179,785889.4854252659,202135.31864266488
36,2024-12-02,782172.0780744145,-12178.562,794350.639597852,204311.57640724728
37,2024-12-03,781871.5494526309,-4453.7905,786325.3399799747,202247.42295368036
38,2024-12-04,781934.0356169051,-5892.2217,787826.2572965926,202633.4675638671
39,2024-12-05,781954.9440002126,1756.2668,783711.2108459157,201575.05382890432
40,2024-12-06,782387.5297450905,-8571.274,790958.804159153,203439.17672523105
41,2024-12-09,783196.1396967239,-7866.7764,791062.9160639114,203465.95490897459
42,2024-12-10,782947.8480626738,-330.54788,783278.3959447539,201463.73133435243
43,2024-12-11,783054.9447979104,-1304.1613,784359.1060527932,201741.69622140098
44,2024-12-12,783110.9030249577,181.87727,783292.7802985173,201467.431073292
45,2024-12-13,783567.2718954129,2692.4082,786259.6800985379,202230.53485261477
46,2024-12-16,784366.9398732359,2003.8292,786370.7690968687,202259.1075851576
47,2024-12-17,784086.3756866718,-3062.0957,787148.4713897968,202459.1371105623
48,2024-12-18,784146.2240862616,-4811.61,788957.8339495428,202924.515620311
49,2024-12-19,784140.3444392745,415.852,784556.1964290206,201792.389005487
50,2024-12-20,784521.0589812328,96.3542,784617.4131835033,201808.13430861564
51,2024-12-23,785024.0174031949,2591.5598,787615.577217648,202579.27942968425
52,2024-12-24,784627.2797662336,-3796.9944,788424.2741509993,202787.28095577648
53,2024-12-25,784565.9616188817,-9659.829,794225.7907204442,204279.4645542641
54,2024-12-26,784436.3931594249,2378.0457,786814.4388137218,202373.2220010537
55,2024-12-27,784693.477242222,-197.70549,784891.1827323344,201878.5494191546
56,2024-12-30,784852.0303571317,6054.2725,790906.3028180692,203425.67307680982
57,2024-12-31,784357.6963969085,6561.1885,790918.884873471,203428.90925419223
58,2025-01-01,784211.1892236823,3701.6863,787912.8755029792,202655.7462672636
59,2025-01-02,784010.771124421,3171.14,787181.9110169992,202467.73797598318
60,2025-01-03,784212.972673771,-8216.948,792429.9209159585,203817.55645916593
61,2025-01-06,784313.5820084608,1286.6499,785600.2319108045,202060.92096665764
62,2025-01-07,783837.1533233076,8350.117,792187.2705108076,203755.14537227197
63,2025-01-08,783726.9455919373,-7845.1626,791572.1081895935,203596.9220671869
64,2025-01-09,783580.4638137427,-3254.0103,786834.474067649,202378.37518418158
65,2025-01-10,783853.0794593993,12.8065815,783865.8860408965,201614.83718318428
66,2025-01-13,784246.7618413641,-9082.691,793329.4532476141,204048.92137479424
