date,gld_price_lkr,gold_price_usd,silver_price,s&p_500,ny_stock_ex_rate,selling_exchange_rates
1/1/2020,275391,1552,18,3229,13907,183.154
2/1/2020,275111,1525,18,3258,14002,182.9138
3/1/2020,279285,1549,18,3235,13917,183.084
6/1/2020,285968,1566,18,3246,13942,183.0439
7/1/2020,282549,1572,18,3237,13898,183.054
8/1/2020,288445,1557,18,3253,13934,183.0439
9/1/2020,282928,1552,18,3275,13998,183.3546
10/1/2020,,1558,18,3265,13958,
13/01/2020,282456,1548,18,3288,14043,183.0839
14/01/2020,278954,1542,18,3283,14037,183.2342
15/01/2020,,1552,18,3289,14053,
16/01/2020,282651,1549,18,3317,14142,183.2642
17/01/2020,281880,1559,18,3330,14183,183.0438
20/01/2020,282471,1565,18,3301,14092,183.0438
21/01/2020,284043,1556,18,3321,14110,183.0639
22/01/2020,281621,1555,18,3322,14110,183.1766
23/01/2020,282570,1565,18,3326,14102,183.2267
24/01/2020,283296,1571,18,3295,13978,183.2769
27/01/2020,287017,1577,18,3244,13770,183.3169
28/01/2020,287136,1569,17,3276,13878,183.347
29/01/2020,284198,1570,17,3273,13844,183.3369
30/01/2020,286849,1584,18,3284,13862,183.3067
31/01/2020,285448,1583,18,3226,13614,183.3068
3/2/2020,287157,1577,18,3249,13678,183.2467
4/2/2020,,1550,18,3298,13863,
5/2/2020,282201,1558,18,3335,14025,183.2667
6/2/2020,282095,1565,18,3346,14035,183.2166
7/2/2020,284043,1569,18,3328,13932,183.1965
10/2/2020,284811,1575,18,3352,13984,183.2267
11/2/2020,284588,1566,18,3358,14054,183.2066
12/2/2020,284378,1567,17,3379,14137,183.2267
13/02/2020,284898,1575,18,3374,14099,183.2466
14/02/2020,285944,1583,18,3380,14097,183.2366
17/02/2020,287175,1623,18,3369,14074,183.2668
18/02/2020,287971,1600,18,3370,14039,183.3269
19/02/2020,290861,1608,18,3386,14087,183.3971
20/02/2020,292810,1617,18,3373,14061,183.6877
21/02/2020,,1645,19,3338,13976,
24/02/2020,302236,1672,19,3226,13534,183.407
25/02/2020,301022,1647,18,3128,13144,183.4972
26/02/2020,298398,1640,18,3116,13047,183.4872
27/02/2020,299902,1640,18,2979,12547,183.4971
