brand,posted_date,model,year_of_manufacture,transmission,fuel_type,engine_capacity,vehicle_price
TOYOTA,21 OCT,PASSO,2009,AUTOMATIC,PETROL,1000,4950000
TOYOTA,21 OCT,AXIO,2009,AUTOMATIC,PETROL,1500,8590000
TOYOTA,21 OCT,VIOS,2007,AUTOMATIC,PETROL,1500,6490000
TOYOTA,21 OCT,ALLION,2008,AUTOMATIC,PETROL,1500,9490000
TOYOTA,21 OCT,FJ CRUISER,2012,AUTOMATIC,PETROL,4000,34000000
TOYOTA,21 OCT,AQUA,2015,AUTOMATIC,PETROL,1500,8650000
TOYOTA,21 OCT,LAND CRUISER PRADO,2007,AUTOMATIC,PETROL,2700,18800000
TOYOTA,21 OCT,COROLLA,2007,AUTOMATIC,PETROL,1600,7450000
TOYOTA,21 OCT,PREMIO,2014,AUTOMATIC,PETROL,1500,13200000
TOYOTA,21 OCT,RUSH,2008,AUTOMATIC,PETROL,1500,8250000
TOYOTA,21 OCT,VITZ,2016,AUTOMATIC,PETROL,1000,7850000
TOYOTA,21 OCT,CHR,2019,AUTOMATIC,PETROL,1200,15750000
TOYOTA,21 OCT,PREMIO,2007,AUTOMATIC,PETROL,1490,10400000
TOYOTA,21 OCT,PASSO,2014,AUTOMATIC,PETROL,1000,5295000
TOYOTA,21 OCT,COROLLA,2011,AUTOMATIC,PETROL,1598,8790000
TOYOTA,21 OCT,PREMIO,2012,AUTOMATIC,PETROL,1500,12000000
TOYOTA,21 OCT,PREMIO,2013,AUTOMATIC,PETROL,1500,12600000
TOYOTA,21 OCT,LAND CRUISER PRADO,2018,AUTOMATIC,PETROL,2700,79990000
TOYOTA,21 OCT,VITZ,2019,AUTOMATIC,PETROL,1000,9690000
TOYOTA,21 OCT,PREMIO,2019,AUTOMATIC,PETROL,1490,21400000
TOYOTA,21 OCT,AXIO,2010,AUTOMATIC,PETROL,1500,7795000
TOYOTA,21 OCT,YARIS,2011,AUTOMATIC,PETROL,1300,7635000
TOYOTA,21 OCT,AXIO,2007,AUTOMATIC,PETROL,1490,7185000
TOYOTA,21 OCT,AQUA,2015,AUTOMATIC,PETROL,1500,8750000
