post_link,posted_title,posted_date,brand,model,grade,trim_edition,year_of_manufacture,condition,transmission,body_type,fuel_type,engine_capacity,mileage,vehicle_price
https://ikman.lk/en/ad/toyota-vitz-1st-owner-safety-2016-for-sale-colombo,Toyota Vitz 2016,"Posted on 24 Sep 4:50 pm, Pannipitiya, Colombo",Toyota,Vitz,0,Toyota Vitz 2016,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc","90,200 km","Rs 7,895,000"
https://ikman.lk/en/ad/toyota-land-cruiser-prado-tx-limited-2015-for-sale-matara-40,Toyota Land Cruiser Prado TX Limited 2015,"Posted on 24 Sep 4:42 pm, Matara City, Matara",Toyota,Land Cruiser Prado,0,TX Limited,2015,Used,Automatic,SUV / 4x4,Petrol,"2,700 cc","119,000 km","Rs 44,800,000"
https://ikman.lk/en/ad/toyota-premio-g-superior-2018-for-sale-gampaha-398,Toyota Premio G Superior 2018,"Posted on 24 Sep 4:30 pm, Negombo, Gampaha",Toyota,Premio,0,G Superior,2018,Used,Automatic,Saloon,Petrol,"1,500 cc","83,000 km","Rs 18,900,000"
https://ikman.lk/en/ad/toyota-vitz-8-air-bag-2007-for-sale-matara-4,Toyota Vitz 8 Air Bag 2007,"Posted on 24 Sep 4:23 pm, Matara City, Matara",Toyota,Vitz,0,8 Air Bag,2007,Used,Automatic,Hatchback,Petrol,"1,000 cc","116,000 km","Rs 5,350,000"
https://ikman.lk/en/ad/toyota-rush-2018-for-sale-colombo-102,Toyota Rush 2018,"Posted on 24 Sep 4:22 pm, Colombo 2, Colombo",Toyota,Rush,0,0,2018,Used,Automatic,SUV / 4x4,Petrol,"1,500 cc","1,585 km","Rs 25,700,000"
https://ikman.lk/en/ad/toyota-vitz-edition-02-2018-for-sale-puttalam-27,Toyota Vitz Edition 02 2018,"Posted on 24 Sep 3:47 pm, Nattandiya, Puttalam",Toyota,Vitz,0,Edition 02,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc","27,000 km","Rs 9,675,000"
https://ikman.lk/en/ad/toyota-vitz-ksp90-2007-for-sale-colombo-277,Toyota Vitz KSP90 2007,"Posted on 24 Sep 3:41 pm, Malabe, Colombo",Toyota,Vitz,0,KSP90,2007,Used,Automatic,Hatchback,Petrol,"1,000 cc","159,000 km","Rs 5,290,000"
https://ikman.lk/en/ad/toyota-vitz-2018-for-sale-colombo-1181,Toyota Vitz 2018,"Posted on 24 Sep 3:37 pm, Colombo 4, Colombo",Toyota,Vitz,0,0,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc","32,000 km","Rs 9,100,000"
https://ikman.lk/en/ad/toyota-passo-full-option-auto-2018-for-sale-colombo-4,Toyota Passo FULL OPTION AUTO 2018,"Posted on 24 Sep 3:29 pm, Boralesgamuwa, Colombo",Toyota,Passo,0,FULL OPTION AUTO,2018,Used,Automatic,Hatchback,Petrol,990 cc,"99,180 km","Rs 7,690,000"
https://ikman.lk/en/ad/toyota-axio-nze-161petrol-15-2013-for-sale-gampaha,Toyota Axio NZE-161(Petrol-1.5) 2013,"Posted on 24 Sep 3:12 pm, Katunayake, Gampaha",Toyota,Axio,0,NZE-161(Petrol-1.5) ,2013,Reconditioned,Automatic,Saloon,Petrol,"1,500 cc","113,000 km","Rs 9,800,000"
https://ikman.lk/en/ad/toyota-vitz-2nd-edition-2018-for-sale-galle-1,Toyota Vitz 2nd Edition 2018,"Posted on 24 Sep 2:58 pm, Galle City, Galle",Toyota,Vitz,0,2nd Edition,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc","91,000 km","Rs 9,285,000"
