brand,posted_date,model,year_of_manufacture,transmission,fuel_type,engine_capacity,vehicle_price
TOYOTA,24 SEP,VITZ,2016,AUTOMATIC,PETROL,1000,7895000
TOYOTA,24 SEP,LAND CRUISER PRADO,2015,AUTOMATIC,PETROL,2700,44800000
TOYOTA,24 SEP,PREMIO,2018,AUTOMATIC,PETROL,1500,18900000
TOYOTA,24 SEP,VITZ,2007,AUTOMATIC,PETROL,1000,5350000
TOYOTA,24 SEP,RUSH,2018,AUTOMATIC,PETROL,1500,25700000
TOYOTA,24 SEP,VITZ,2018,AUTOMATIC,PETROL,1000,9675000
TOYOTA,24 SEP,VITZ,2007,AUTOMATIC,PETROL,1000,5290000
TOYOTA,24 SEP,VITZ,2018,AUTOMATIC,PETROL,1000,9100000
TOYOTA,24 SEP,PASSO,2018,AUTOMATIC,PETROL,990,7690000
TOYOTA,24 SEP,AXIO,2013,AUTOMATIC,PETROL,1500,9800000
TOYOTA,24 SEP,VITZ,2018,AUTOMATIC,PETROL,1000,9285000
TOYOTA,24 SEP,ROOMY,2016,AUTOMATIC,PETROL,1000,9900000
TOYOTA,24 SEP,PREMIO,2014,AUTOMATIC,PETROL,1500,12950000
TOYOTA,24 SEP,AXIO,2014,AUTOMATIC,PETROL,1500,9275000
TOYOTA,24 SEP,PREMIO,2013,AUTOMATIC,PETROL,1500,13200000
TOYOTA,24 SEP,RUSH,2019,AUTOMATIC,PETROL,1500,17990000
TOYOTA,24 SEP,VIOS,2007,AUTOMATIC,PETROL,1500,6090000
TOYOTA,24 SEP,AXIO,2015,AUTOMATIC,PETROL,1500,11650000
TOYOTA,24 SEP,ALLION,2008,AUTOMATIC,PETROL,1500,8925000
TOYOTA,24 SEP,VITZ,2016,AUTOMATIC,PETROL,1000,7790000
TOYOTA,24 SEP,HARRIER,2017,AUTOMATIC,PETROL,2000,30950000
TOYOTA,24 SEP,RUSH,2018,AUTOMATIC,PETROL,1500,16750000
TOYOTA,24 SEP,PREMIO,2007,AUTOMATIC,PETROL,1490,10800000
