brand,posted_date,model,year_of_manufacture,transmission,fuel_type,engine_capacity,vehicle_price
HONDA,21 OCT,VEZEL,2017,AUTOMATIC,PETROL,1500,14850000
HONDA,21 OCT,CIVIC,2010,AUTOMATIC,PETROL,1600,7490000
HONDA,21 OCT,VEZEL,2017,AUTOMATIC,PETROL,1500,14475000
HONDA,21 OCT,VEZEL,2014,AUTOMATIC,PETROL,1500,10500000
HONDA,21 OCT,CROSSROAD,2010,AUTOMATIC,PETROL,1800,8850000
HONDA,21 OCT,FIT,2008,AUTOMATIC,PETROL,1500,4450000
HONDA,21 OCT,CRV,2018,AUTOMATIC,PETROL,1500,22500000
HONDA,21 OCT,CIVIC,2018,AUTOMATIC,PETROL,1490,16450000
HONDA,21 OCT,FIT,2013,AUTOMATIC,PETROL,1330,7000000
HONDA,21 OCT,CRV,2018,AUTOMATIC,PETROL,1500,26490000
HONDA,21 OCT,CRV,2018,AUTOMATIC,PETROL,1500,25990000
HONDA,21 OCT,CRV,2019,AUTOMATIC,PETROL,1500,26950000
HONDA,21 OCT,N-WGN,2017,AUTOMATIC,PETROL,650,6850000
HONDA,21 OCT,ACCORD,2020,AUTOMATIC,PETROL,1500,27900000
HONDA,21 OCT,FIT,2011,AUTOMATIC,PETROL,1330,6700000
HONDA,21 OCT,VEZEL,2016,AUTOMATIC,PETROL,1500,13150000
HONDA,21 OCT,FIT,2014,AUTOMATIC,PETROL,1500,8725000
HONDA,21 OCT,FIT ARIA,2006,AUTOMATIC,PETROL,1500,4950000
HONDA,21 OCT,FIT,2013,AUTOMATIC,PETROL,1330,6900000
HONDA,20 OCT,FIT,2013,AUTOMATIC,PETROL,1300,6600000
HONDA,20 OCT,INSIGHT,2011,AUTOMATIC,PETROL,1350,7400000
HONDA,20 OCT,FIT SHUTTLE,2015,AUTOMATIC,PETROL,1500,11250000
HONDA,20 OCT,FIT,2013,AUTOMATIC,PETROL,1500,8200000
HONDA,20 OCT,VEZEL,2017,AUTOMATIC,PETROL,1500,14250000
HONDA,20 OCT,GRACE,2015,AUTOMATIC,PETROL,1500,10450000
HONDA,20 OCT,CRV,2018,AUTOMATIC,PETROL,1500,24500000
HONDA,19 OCT,CIVIC,2018,AUTOMATIC,PETROL,1000,15100000
HONDA,19 OCT,N-BOX,2015,AUTOMATIC,PETROL,650,6990000
HONDA,19 OCT,VEZEL,2016,AUTOMATIC,PETROL,1490,12990000
HONDA,19 OCT,CRV,2012,AUTOMATIC,PETROL,2000,14600000
HONDA,19 OCT,FIT ARIA,2004,AUTOMATIC,PETROL,1300,4150000
HONDA,19 OCT,FIT,2012,AUTOMATIC,PETROL,1330,6400000
HONDA,19 OCT,CIVIC,2018,AUTOMATIC,PETROL,1000,14700000
