brand,posted_date,model,year_of_manufacture,transmission,fuel_type,engine_capacity,vehicle_price
MITSUBISHI,21 OCT,ECLIPSE CROSS,2018,AUTOMATIC,PETROL,1490,18990000
MITSUBISHI,21 OCT,ECLIPSE CROSS,2019,AUTOMATIC,PETROL,1500,22000000
MITSUBISHI,21 OCT,EK WAGON,2018,AUTOMATIC,PETROL,650,5800000
MITSUBISHI,21 OCT,OUTLANDER,2015,AUTOMATIC,PETROL,2000,14900000
MITSUBISHI,21 OCT,MONTERO,2006,AUTOMATIC,PETROL,3800,14990000
MITSUBISHI,21 OCT,OUTLANDER,2015,AUTOMATIC,PETROL,2400,18800000
MITSUBISHI,21 OCT,OUTLANDER,2014,AUTOMATIC,PETROL,2000,13950000
MITSUBISHI,21 OCT,OUTLANDER,2014,AUTOMATIC,PETROL,1990,13500000
MITSUBISHI,21 OCT,ASX,2014,AUTOMATIC,PETROL,2000,10875000
MITSUBISHI,20 OCT,XPANDER,2018,AUTOMATIC,PETROL,1500,17400000
MITSUBISHI,20 OCT,EK WAGON,2015,AUTOMATIC,PETROL,650,5950000
MITSUBISHI,20 OCT,ASX,2016,AUTOMATIC,PETROL,1500,13000000
MITSUBISHI,20 OCT,MIRAGE,2012,AUTOMATIC,PETROL,1200,4850000
MITSUBISHI,19 OCT,LANCER,2011,AUTOMATIC,PETROL,1600,7250000
MITSUBISHI,19 OCT,MONTERO,2001,AUTOMATIC,PETROL,3480,10500000
MITSUBISHI,18 OCT,LANCER,2011,AUTOMATIC,PETROL,2000,16590000
MITSUBISHI,18 OCT,ECLIPSE CROSS,2018,AUTOMATIC,PETROL,1500,18790000
MITSUBISHI,16 OCT,OUTLANDER,2015,AUTOMATIC,PETROL,2400,17590000
MITSUBISHI,16 OCT,MONTERO,2003,AUTOMATIC,PETROL,3490,13000000
MITSUBISHI,16 OCT,ECLIPSE CROSS,2018,AUTOMATIC,PETROL,2000,18850000
MITSUBISHI,18 OCT,ECLIPSE CROSS,2018,AUTOMATIC,PETROL,1500,21750000
MITSUBISHI,21 OCT,ECLIPSE CROSS,2018,AUTOMATIC,PETROL,2000,16500000
MITSUBISHI,15 OCT,XPANDER,2018,AUTOMATIC,PETROL,1500,16700000
MITSUBISHI,16 OCT,MONTERO,2011,AUTOMATIC,PETROL,2972,22500000
MITSUBISHI,12 OCT,ATTRAGE,2015,AUTOMATIC,PETROL,1200,7800000
MITSUBISHI,11 OCT,ECLIPSE CROSS,2018,AUTOMATIC,PETROL,1500,18900000
MITSUBISHI,11 OCT,MONTERO,2003,AUTOMATIC,PETROL,3500,14200000
MITSUBISHI,10 OCT,EK WAGON,2016,AUTOMATIC,PETROL,660,5395000
MITSUBISHI,20 OCT,ECLIPSE CROSS,2018,AUTOMATIC,PETROL,1500,20475000
MITSUBISHI,10 OCT,OUTLANDER,2019,AUTOMATIC,PETROL,2000,26500000
MITSUBISHI,09 OCT,XPANDER,2018,AUTOMATIC,PETROL,1500,17850000
MITSUBISHI,10 OCT,XPANDER,2020,AUTOMATIC,PETROL,1499,18800000
MITSUBISHI,08 OCT,ECLIPSE CROSS,2018,AUTOMATIC,PETROL,1500,21000000
MITSUBISHI,07 OCT,ECLIPSE CROSS,2019,AUTOMATIC,PETROL,1490,19590000
MITSUBISHI,14 OCT,LANCER,2008,AUTOMATIC,PETROL,1490,8200000
MITSUBISHI,17 OCT,EK WAGON,2016,AUTOMATIC,PETROL,600,5850000
MITSUBISHI,06 OCT,DELICA,2011,AUTOMATIC,PETROL,2000,16500000
MITSUBISHI,12 OCT,LANCER,2011,AUTOMATIC,PETROL,1500,8900000
MITSUBISHI,03 OCT,OUTLANDER,2013,AUTOMATIC,PETROL,2400,14990000
MITSUBISHI,03 OCT,ECLIPSE CROSS,2019,AUTOMATIC,PETROL,1500,19850000
MITSUBISHI,10 OCT,OUTLANDER,2015,AUTOMATIC,PETROL,2000,15000000
MITSUBISHI,01 OCT,EK WAGON,2015,AUTOMATIC,PETROL,650,6290000
MITSUBISHI,01 OCT,MONTERO,2003,AUTOMATIC,PETROL,3500,12900000
MITSUBISHI,03 OCT,EK SPACE,2016,AUTOMATIC,PETROL,660,5850000
MITSUBISHI,29 SEP,OUTLANDER,2015,AUTOMATIC,PETROL,2000,18800000
MITSUBISHI,29 SEP,PAJERO,2003,AUTOMATIC,PETROL,1800,4300000
MITSUBISHI,26 SEP,ASX,2013,AUTOMATIC,PETROL,2000,11100000
MITSUBISHI,25 SEP,ECLIPSE CROSS,2019,AUTOMATIC,PETROL,1500,17300000
MITSUBISHI,25 SEP,PAJERO,2000,AUTOMATIC,PETROL,1800,6300000
MITSUBISHI,20 SEP,OUTLANDER,2003,AUTOMATIC,PETROL,2351,6000000
MITSUBISHI,18 SEP,OUTLANDER,2013,AUTOMATIC,PETROL,2400,15500000
MITSUBISHI,17 OCT,TOWNY,1986,AUTOMATIC,PETROL,800,600000
MITSUBISHI,14 SEP,EK WAGON,2015,AUTOMATIC,PETROL,650,5490000
MITSUBISHI,19 SEP,MIRAGE,2002,AUTOMATIC,PETROL,1500,4800000
MITSUBISHI,24 SEP,MONTERO,2003,AUTOMATIC,PETROL,3800,13200000
MITSUBISHI,27 SEP,OUTLANDER,2013,AUTOMATIC,PETROL,1990,13900000
MITSUBISHI,01 SEP,EK WAGON,2016,AUTOMATIC,PETROL,650,5635000
MITSUBISHI,08 OCT,EK WAGON,2017,AUTOMATIC,PETROL,650,5875000
MITSUBISHI,24 AUG,MONTERO,2016,AUTOMATIC,PETROL,3000,36500000
MITSUBISHI,12 OCT,MONTERO,2007,AUTOMATIC,PETROL,3000,21000000
MITSUBISHI,21 OCT,MONTERO,2013,AUTOMATIC,DIESEL,3200,35500000
MITSUBISHI,20 OCT,MONTERO,2000,AUTOMATIC,DIESEL,3200,14500000
MITSUBISHI,20 OCT,MONTERO,2013,AUTOMATIC,DIESEL,3200,26500000
MITSUBISHI,19 OCT,MONTERO,2007,AUTOMATIC,DIESEL,2800,16300000
MITSUBISHI,20 OCT,MONTERO,2011,AUTOMATIC,DIESEL,1999,16500000
MITSUBISHI,16 OCT,MONTERO,2011,AUTOMATIC,DIESEL,2500,16750000
MITSUBISHI,16 OCT,L200,2020,AUTOMATIC,DIESEL,2500,24000000
MITSUBISHI,15 OCT,MONTERO,2001,AUTOMATIC,DIESEL,2800,15000000
MITSUBISHI,15 OCT,MONTERO,2001,AUTOMATIC,DIESEL,3200,14800000
MITSUBISHI,13 OCT,MONTERO,2012,AUTOMATIC,DIESEL,3200,15550000
MITSUBISHI,11 OCT,PAJERO,1985,AUTOMATIC,DIESEL,2500,7950000
MITSUBISHI,12 OCT,MONTERO,2018,AUTOMATIC,DIESEL,2800,16500000
MITSUBISHI,10 OCT,CHARIOT,1996,AUTOMATIC,DIESEL,2000,3500000
MITSUBISHI,19 OCT,PAJERO,1984,AUTOMATIC,DIESEL,2346,3750000
MITSUBISHI,03 OCT,MONTERO,2015,AUTOMATIC,DIESEL,3200,48000000
MITSUBISHI,08 OCT,MONTERO,2013,AUTOMATIC,DIESEL,3000,27500000
MITSUBISHI,01 OCT,PAJERO,1984,AUTOMATIC,DIESEL,2500,5300000
MITSUBISHI,29 SEP,PAJERO,1993,AUTOMATIC,DIESEL,2830,13000000
