brand,posted_date,model,year_of_manufacture,transmission,fuel_type,engine_capacity,vehicle_price
NISSAN,21 OCT,JUKE,2020,AUTOMATIC,PETROL,1000,16950000
NISSAN,21 OCT,BLUEBIRD,2010,AUTOMATIC,PETROL,1500,6750000
NISSAN,21 OCT,PULSAR,1999,AUTOMATIC,PETROL,1500,2775000
NISSAN,21 OCT,OTHER MODEL,2013,AUTOMATIC,PETROL,2000,13800000
NISSAN,21 OCT,X-TRAIL,2015,AUTOMATIC,PETROL,2000,11500000
NISSAN,21 OCT,MARCH,2008,AUTOMATIC,PETROL,1330,4175000
NISSAN,21 OCT,QASHQAI,2018,AUTOMATIC,PETROL,1000,15800000
NISSAN,21 OCT,SUNNY,2010,AUTOMATIC,PETROL,1590,5975000
NISSAN,21 OCT,DAYZ,2015,AUTOMATIC,PETROL,650,6350000
NISSAN,21 OCT,MARCH,2008,AUTOMATIC,PETROL,1300,4390000
NISSAN,21 OCT,X-TRAIL,2015,AUTOMATIC,PETROL,1990,12700000
NISSAN,20 OCT,MARCH,2000,AUTOMATIC,PETROL,990,2350000
NISSAN,20 OCT,DAYZ,2017,AUTOMATIC,PETROL,650,6090000
NISSAN,20 OCT,OTHER MODEL,2005,AUTOMATIC,PETROL,1340,3350000
NISSAN,20 OCT,DAYZ,2016,AUTOMATIC,PETROL,650,5575000
NISSAN,20 OCT,WINGROAD,1999,AUTOMATIC,PETROL,1500,3495000
NISSAN,20 OCT,SUNNY,2007,AUTOMATIC,PETROL,1500,4550000
NISSAN,19 OCT,PULSAR,1997,AUTOMATIC,PETROL,1500,2890000
NISSAN,19 OCT,X-TRAIL,2015,AUTOMATIC,PETROL,2000,15350000
NISSAN,19 OCT,SYLPHY,2014,AUTOMATIC,PETROL,1800,11450000
NISSAN,19 OCT,MARCH,2002,AUTOMATIC,PETROL,1300,3275000
NISSAN,19 OCT,SUNNY,2002,AUTOMATIC,PETROL,1458,3900000
NISSAN,19 OCT,QASHQAI,2019,AUTOMATIC,PETROL,1200,17650000
NISSAN,19 OCT,SUNNY,2010,AUTOMATIC,PETROL,1300,6375000
NISSAN,19 OCT,SUNNY,2001,AUTOMATIC,PETROL,1500,3875000
NISSAN,19 OCT,MARCH,2010,AUTOMATIC,PETROL,1300,4650000
NISSAN,19 OCT,SYLPHY,2013,AUTOMATIC,PETROL,1600,9650000
NISSAN,19 OCT,BLUEBIRD,1996,AUTOMATIC,PETROL,1800,2775000
NISSAN,19 OCT,X-TRAIL,2014,AUTOMATIC,PETROL,2200,13190000
NISSAN,18 OCT,NAVARA,2006,AUTOMATIC,PETROL,2500,5950000
