brand,posted_date,model,year_of_manufacture,transmission,fuel_type,engine_capacity,vehicle_price
SUZUKI,21 OCT,SWIFT,2017,AUTOMATIC,PETROL,1000,9390000
SUZUKI,21 OCT,WAGON R STINGRAY,2017,AUTOMATIC,PETROL,650,7050000
SUZUKI,21 OCT,WAGON R FX,2018,AUTOMATIC,PETROL,660,5750000
SUZUKI,21 OCT,A-STAR,2013,AUTOMATIC,PETROL,1000,4600000
SUZUKI,21 OCT,SWIFT,2011,AUTOMATIC,PETROL,1000,5485000
SUZUKI,21 OCT,CULTUS,2004,AUTOMATIC,PETROL,1490,3100000
SUZUKI,21 OCT,IGNIS,2016,AUTOMATIC,PETROL,1300,6450000
SUZUKI,21 OCT,SWIFT,2017,AUTOMATIC,PETROL,1000,9090000
SUZUKI,21 OCT,ALTO,2006,AUTOMATIC,PETROL,650,3750000
SUZUKI,21 OCT,WAGON R STINGRAY,2017,AUTOMATIC,PETROL,660,7000000
SUZUKI,21 OCT,SWIFT,2005,AUTOMATIC,PETROL,1320,4950000
SUZUKI,21 OCT,WAGON R,2019,AUTOMATIC,PETROL,650,6650000
SUZUKI,21 OCT,WAGON R,2017,AUTOMATIC,PETROL,660,6250000
SUZUKI,21 OCT,IGNIS,2016,AUTOMATIC,PETROL,1240,7190000
SUZUKI,21 OCT,ALTO,2003,AUTOMATIC,PETROL,650,3290000
SUZUKI,21 OCT,WAGON R STINGRAY,2018,AUTOMATIC,PETROL,650,7375000
SUZUKI,21 OCT,SX4,2007,AUTOMATIC,PETROL,1600,5200000
SUZUKI,21 OCT,WAGON R STINGRAY,2017,AUTOMATIC,PETROL,650,7095000
SUZUKI,21 OCT,ALTO,2016,AUTOMATIC,PETROL,660,5950000
SUZUKI,21 OCT,BALENO,2016,AUTOMATIC,PETROL,1500,7750000
SUZUKI,20 OCT,S-CROSS,2018,AUTOMATIC,PETROL,1000,11675000
SUZUKI,20 OCT,CELERIO,2015,AUTOMATIC,PETROL,1000,4925000
SUZUKI,20 OCT,SWIFT,2013,AUTOMATIC,PETROL,1400,6690000
SUZUKI,21 OCT,OTHER MODEL,2016,AUTOMATIC,PETROL,660,7850000
SUZUKI,20 OCT,SWIFT,2004,AUTOMATIC,PETROL,1300,4250000
SUZUKI,20 OCT,WAGON R STINGRAY,2015,AUTOMATIC,PETROL,660,5895000
SUZUKI,20 OCT,GRAND VITARA,2006,AUTOMATIC,PETROL,1500,7975000
SUZUKI,20 OCT,WAGON R,2015,AUTOMATIC,PETROL,660,5595000
SUZUKI,20 OCT,WAGON R,2015,AUTOMATIC,PETROL,660,5995000
SUZUKI,20 OCT,WAGON R STINGRAY,2018,AUTOMATIC,PETROL,650,7500000
SUZUKI,19 OCT,SWIFT,2006,AUTOMATIC,PETROL,1500,5390000
