vehicle_price,make,model,year,transmision,engine_capacity,fuel_type
3390000,MICRO,PANDA,2018,AUTOMATIC,1000,PETROL
3850000,MICRO,VOLEEX,2013,AUTOMATIC,1500,PETROL
5800000,MICRO,BAIC,2017,AUTOMATIC,1500,PETROL
5600000,MICRO,KYRON,2008,AUTOMATIC,3000,DIESEL
8875000,MICRO,KYRON,2012,AUTOMATIC,1998,DIESEL
5900000,MICRO,KYRON,2009,AUTOMATIC,1998,DIESEL
8050000,MICRO,REXTON,2009,AUTOMATIC,2696,DIESEL
13900000,MICRO,REXTON,2016,AUTOMATIC,2000,DIESEL
14500000,MICRO,REXTON,2014,AUTOMATIC,1998,DIESEL
6500000,MICRO,KYRON,2009,AUTOMATIC,2000,DIESEL
14900000,MICRO,REXTON,2016,AUTOMATIC,2000,DIESEL
14575000,MICRO,REXTON,2015,AUTOMATIC,2000,DIESEL
4495000,MICRO,ACTYON,2008,AUTOMATIC,1998,DIESEL
1550000,MICRO,TREND,2009,MANUAL,1000,PETROL
2475000,MICRO,MX 7,2012,MANUAL,1500,PETROL
2790000,MICRO,PANDA,2017,MANUAL,1000,PETROL
2990000,MICRO,OTHER MODEL,2013,MANUAL,1500,PETROL
1625000,MICRO,TREND,2012,MANUAL,1075,PETROL
2950000,MICRO,PANDA,2018,MANUAL,1000,PETROL
1790000,MICRO,LIFAN,2009,MANUAL,1500,PETROL
2350000,MICRO,PANDA,2013,MANUAL,1000,PETROL
2475000,MICRO,PANDA,2014,MANUAL,1000,PETROL
2525000,MICRO,PANDA,2014,MANUAL,800,PETROL
2490000,MICRO,PANDA,2015,MANUAL,1000,PETROL
2895000,MICRO,PANDA CROSS,2015,MANUAL,1300,PETROL
2390000,MICRO,PANDA,2015,MANUAL,1000,PETROL
2985000,MICRO,PANDA,2018,MANUAL,1000,PETROL
2990000,MICRO,MX 7,2012,MANUAL,1500,PETROL
2575000,MICRO,PANDA,2015,MANUAL,1000,PETROL
1650000,MICRO,TREND,2012,MANUAL,1075,PETROL
2730000,MICRO,PANDA CROSS,2014,MANUAL,1342,PETROL
1950000,MICRO,PANDA,2012,MANUAL,1300,PETROL
2525000,MICRO,PANDA,2016,MANUAL,1000,PETROL
1700000,MICRO,TREND,2009,MANUAL,1075,PETROL
1530000,MICRO,TREND,2013,MANUAL,1000,PETROL
2275000,MICRO,PANDA,2012,MANUAL,1300,PETROL
2485000,MICRO,PANDA,2015,MANUAL,1000,PETROL
2550000,MICRO,PANDA,2015,MANUAL,1000,PETROL
2495000,MICRO,PANDA,2014,MANUAL,998,PETROL
2200000,MICRO,PANDA,2013,MANUAL,1000,PETROL
3500000,MICRO,PANDA CROSS,2016,MANUAL,1300,PETROL
1950000,MICRO,PANDA,2012,MANUAL,1000,PETROL
2495000,MICRO,PANDA,2014,MANUAL,997,PETROL
2575000,MICRO,PANDA,2016,MANUAL,1000,PETROL
2285000,MICRO,PANDA,2014,MANUAL,1000,PETROL
2895000,MICRO,PANDA,2017,MANUAL,800,PETROL
1500000,MICRO,TREND,2009,MANUAL,1075,PETROL
2895000,MICRO,PANDA,2017,MANUAL,998,PETROL
1395000,MICRO,TREND,2006,MANUAL,970,PETROL
2700000,MICRO,PANDA,2015,MANUAL,1000,PETROL
2550000,MICRO,PANDA CROSS,2013,MANUAL,1300,PETROL
2350000,MICRO,PANDA,2014,MANUAL,1000,PETROL
2765000,MICRO,PANDA CROSS,2013,MANUAL,1300,PETROL
1350000,MICRO,TREND,2009,MANUAL,1075,PETROL
3900000,MICRO,EMGRAND,2014,MANUAL,1800,PETROL
2090000,MICRO,PANDA,2013,MANUAL,1000,PETROL
2500000,MICRO,PANDA,2015,MANUAL,1000,PETROL
4200000,MICRO,ACTYON,2009,MANUAL,2500,DIESEL
8500000,MICRO,REXTON,2008,TIPTRONIC,1695,DIESEL
2350000,MICRO,PANDA,2015,MANUAL,1000,PETROL
1450000,MICRO,MX 7,2014,MANUAL,1500,PETROL
3700000,MICRO,EMGRAND,2014,MANUAL,1800,PETROL
