vehicle_price,make,model,year,transmision,engine_capacity,fuel_type
4975000,MITSUBISHI,LANCER,2007,AUTOMATIC,1300,PETROL
13350000,MITSUBISHI,MONTERO,2005,AUTOMATIC,3000,PETROL
11375000,MITSUBISHI,ASX,2014,AUTOMATIC,2000,PETROL
12950000,MITSUBISHI,ASX,2016,AUTOMATIC,1500,PETROL
7650000,MITSUBISHI,ATTRAGE,2015,AUTOMATIC,1200,PETROL
5495000,MITSUBISHI,EK WAGON,2016,AUTOMATIC,650,PETROL
5085000,MITSUBISHI,LANCER,2007,AUTOMATIC,1300,PETROL
4995000,MITSUBISHI,MIRAGE,2012,AUTOMATIC,1200,PETROL
26500000,MITSUBISHI,OUTLANDER,2019,AUTOMATIC,2000,PETROL
5775000,MITSUBISHI,EK WAGON,2017,AUTOMATIC,650,PETROL
16590000,MITSUBISHI,LANCER,2011,AUTOMATIC,2000,PETROL
18590000,MITSUBISHI,LANCER,2014,AUTOMATIC,2000,PETROL
18000000,MITSUBISHI,XPANDER,2019,AUTOMATIC,1500,PETROL
14600000,MITSUBISHI,MONTERO,2006,AUTOMATIC,3000,PETROL
13550000,MITSUBISHI,LANCER,2014,AUTOMATIC,1600,PETROL
18500000,MITSUBISHI,ECLIPSE CROSS,2018,AUTOMATIC,1988,PETROL
13800000,MITSUBISHI,MONTERO,2004,AUTOMATIC,3000,PETROL
18500000,MITSUBISHI,MONTERO,2007,AUTOMATIC,3000,PETROL
14000000,MITSUBISHI,OUTLANDER,2014,AUTOMATIC,2000,PETROL
14750000,MITSUBISHI,OUTLANDER,2015,AUTOMATIC,1990,PETROL
8500000,MITSUBISHI,ATTRAGE,2015,AUTOMATIC,1200,PETROL
18500000,MITSUBISHI,XPANDER,2019,AUTOMATIC,1500,PETROL
9250000,MITSUBISHI,ATTRAGE,2020,AUTOMATIC,1200,PETROL
33000000,MITSUBISHI,MONTERO,2017,AUTOMATIC,3000,PETROL
25000000,MITSUBISHI,MONTERO,2013,AUTOMATIC,3200,DIESEL
16300000,MITSUBISHI,MONTERO,2007,AUTOMATIC,2835,DIESEL
39750000,MITSUBISHI,MONTERO,2015,AUTOMATIC,3200,DIESEL
26500000,MITSUBISHI,MONTERO,2013,AUTOMATIC,3200,DIESEL
14600000,MITSUBISHI,OTHER MODEL,2011,AUTOMATIC,2500,DIESEL
14600000,MITSUBISHI,MONTERO,2011,AUTOMATIC,2500,DIESEL
25950000,MITSUBISHI,MONTERO,2013,AUTOMATIC,3200,DIESEL
35500000,MITSUBISHI,MONTERO,2015,AUTOMATIC,3200,DIESEL
16500000,MITSUBISHI,MONTERO,2006,AUTOMATIC,2835,DIESEL
7850000,MITSUBISHI,L200,1998,AUTOMATIC,2470,DIESEL
23500000,MITSUBISHI,MONTERO,2013,AUTOMATIC,3200,DIESEL
28750000,MITSUBISHI,SHOGUN,2013,AUTOMATIC,3200,DIESEL
3050000,MITSUBISHI,CHARIOT,1999,AUTOMATIC,2000,DIESEL
11000000,MITSUBISHI,PAJERO,1999,AUTOMATIC,3200,DIESEL
16300000,MITSUBISHI,MONTERO,2007,AUTOMATIC,2800,DIESEL
36050000,MITSUBISHI,MONTERO,2015,AUTOMATIC,3200,DIESEL
8650000,MITSUBISHI,PAJERO,1991,AUTOMATIC,2490,DIESEL
9450000,MITSUBISHI,L200,2008,AUTOMATIC,2477,DIESEL
14200000,MITSUBISHI,MONTERO,2011,AUTOMATIC,2500,DIESEL
14975000,MITSUBISHI,MONTERO,2012,AUTOMATIC,2500,DIESEL
36500000,MITSUBISHI,MONTERO,2015,AUTOMATIC,3200,DIESEL
11500000,MITSUBISHI,L200,2014,AUTOMATIC,2477,DIESEL
8600000,MITSUBISHI,PAJERO,1994,AUTOMATIC,2500,DIESEL
25500000,MITSUBISHI,MONTERO,2013,AUTOMATIC,3200,DIESEL
14400000,MITSUBISHI,MONTERO,2007,AUTOMATIC,2835,DIESEL
4275000,MITSUBISHI,4DR,1978,AUTOMATIC,2700,DIESEL
20500000,MITSUBISHI,OUTLANDER,2016,AUTOMATIC,2000,HYBRID
14790000,MITSUBISHI,OUTLANDER,2014,AUTOMATIC,2000,HYBRID
13990000,MITSUBISHI,OUTLANDER,2014,AUTOMATIC,1990,HYBRID
17800000,MITSUBISHI,OUTLANDER,2015,AUTOMATIC,1999,HYBRID
16475000,MITSUBISHI,OUTLANDER,2015,AUTOMATIC,2000,HYBRID
14790000,MITSUBISHI,OUTLANDER,2014,AUTOMATIC,1990,HYBRID
13500000,MITSUBISHI,OUTLANDER,2013,AUTOMATIC,2000,HYBRID
14950000,MITSUBISHI,OUTLANDER,2014,AUTOMATIC,2000,HYBRID
13990000,MITSUBISHI,OUTLANDER,2013,AUTOMATIC,1990,HYBRID
13900000,MITSUBISHI,OUTLANDER,2013,AUTOMATIC,2000,HYBRID
13000000,MITSUBISHI,OUTLANDER,2014,AUTOMATIC,2000,HYBRID
19000000,MITSUBISHI,OUTLANDER,2016,AUTOMATIC,2000,HYBRID
10950000,MITSUBISHI,OUTLANDER,2013,AUTOMATIC,2000,HYBRID
14900000,MITSUBISHI,OUTLANDER,2013,AUTOMATIC,1990,HYBRID
7400000,MITSUBISHI,EK SPACE,2018,AUTOMATIC,650,HYBRID
13500000,MITSUBISHI,OUTLANDER,2014,AUTOMATIC,2400,HYBRID
14250000,MITSUBISHI,OUTLANDER,2014,AUTOMATIC,2000,HYBRID
12900000,MITSUBISHI,OUTLANDER,2013,AUTOMATIC,1990,HYBRID
5000000,MITSUBISHI,LANCER,2008,MANUAL,1300,PETROL
875000,MITSUBISHI,LANCER,1988,MANUAL,1290,PETROL
550000,MITSUBISHI,LANCER,1984,MANUAL,1258,PETROL
4700000,MITSUBISHI,LANCER,2008,MANUAL,1300,PETROL
1250000,MITSUBISHI,LANCER,1985,MANUAL,1200,PETROL
1075000,MITSUBISHI,LANCER,1983,MANUAL,1300,PETROL
1250000,MITSUBISHI,LANCER,1983,MANUAL,1200,PETROL
9000000,MITSUBISHI,LANCER,2007,MANUAL,1500,PETROL
550000,MITSUBISHI,LANCER,1982,MANUAL,1400,PETROL
725000,MITSUBISHI,LANCER,1985,MANUAL,1460,PETROL
3700000,MITSUBISHI,LANCER,1999,MANUAL,1500,PETROL
750000,MITSUBISHI,LANCER,1975,MANUAL,1400,PETROL
1800000,MITSUBISHI,LANCER,1993,MANUAL,1500,PETROL
1950000,MITSUBISHI,LANCER,1996,MANUAL,1300,PETROL
1450000,MITSUBISHI,LANCER,1983,MANUAL,1500,PETROL
1475000,MITSUBISHI,LANCER,1980,MANUAL,1400,PETROL
530000,MITSUBISHI,LANCER,1979,MANUAL,1400,PETROL
1250000,MITSUBISHI,GALANT,1989,MANUAL,1800,PETROL
4700000,MITSUBISHI,LANCER,2008,MANUAL,1290,PETROL
810000,MITSUBISHI,LANCER,1983,MANUAL,1250,PETROL
1220000,MITSUBISHI,LANCER,1984,MANUAL,1400,PETROL
250000,MITSUBISHI,LANCER,1980,MANUAL,1400,PETROL
5000000,MITSUBISHI,PAJERO,2001,MANUAL,1090,PETROL
2150000,MITSUBISHI,LANCER,1995,MANUAL,1300,PETROL
900000,MITSUBISHI,LANCER,1980,MANUAL,1300,PETROL
675000,MITSUBISHI,LANCER,1977,MANUAL,1400,PETROL
10800000,MITSUBISHI,MONTERO,2004,MANUAL,3500,PETROL
1180000,MITSUBISHI,LANCER,1987,MANUAL,1500,PETROL
595000,MITSUBISHI,LANCER,1987,MANUAL,1300,PETROL
4150000,MITSUBISHI,LANCER,2003,MANUAL,1300,PETROL
1025000,MITSUBISHI,LANCER,1985,MANUAL,1300,PETROL
885000,MITSUBISHI,LANCER,1980,MANUAL,1200,PETROL
650000,MITSUBISHI,LANCER,1994,MANUAL,1200,PETROL
1995000,MITSUBISHI,LIBERO,1999,MANUAL,1290,PETROL
775000,MITSUBISHI,LANCER,1984,MANUAL,1200,PETROL
2950000,MITSUBISHI,OTHER MODEL,2002,MANUAL,1500,PETROL
700000,MITSUBISHI,LANCER,1981,MANUAL,1400,PETROL
5350000,MITSUBISHI,LANCER,2007,MANUAL,1600,PETROL
820000,MITSUBISHI,LANCER,1984,MANUAL,1400,PETROL
790000,MITSUBISHI,LANCER,1984,MANUAL,1400,PETROL
1575000,MITSUBISHI,LANCER,1985,MANUAL,1400,PETROL
400000,MITSUBISHI,LANCER,1982,MANUAL,1290,PETROL
450000,MITSUBISHI,LANCER,1979,MANUAL,1300,PETROL
950000,MITSUBISHI,LANCER,1988,MANUAL,1500,PETROL
660000,MITSUBISHI,LANCER,1983,MANUAL,1500,PETROL
1440000,MITSUBISHI,LANCER,1985,MANUAL,1500,PETROL
