vehicle_price,make,model,year,transmision,engine_capacity,fuel_type
2200000,NISSAN,VANETTE,1992,MANUAL,1950,DIESEL
4200000,NISSAN,CARAVAN,1990,MANUAL,2660,DIESEL
1090000,NISSAN,BLUEBIRD,1991,MANUAL,1920,DIESEL
4385000,NISSAN,TIIDA,2007,AUTOMATIC,1500,PETROL
3500000,NISSAN,SUNNY,2001,AUTOMATIC,1500,PETROL
10900000,NISSAN,X-TRAIL,2015,AUTOMATIC,1995,HYBRID
1350000,NISSAN,CARAVAN,1995,MANUAL,2770,DIESEL
1975000,NISSAN,SUNNY,1993,MANUAL,1500,PETROL
6700000,NISSAN,DAYZ,2017,AUTOMATIC,660,PETROL
375000,NISSAN,SUNNY,1985,MANUAL,1500,PETROL
5525000,NISSAN,VANETTE,2006,AUTOMATIC,1780,PETROL
1175000,NISSAN,CEFIRO,2007,AUTOMATIC,1500,PETROL
5975000,NISSAN,SUNNY,2010,AUTOMATIC,1500,PETROL
2350000,NISSAN,SERENA,1994,MANUAL,2000,DIESEL
4850000,NISSAN,CARAVAN,1994,MANUAL,2800,DIESEL
2375000,NISSAN,SUNNY,1995,AUTOMATIC,1490,PETROL
2495000,NISSAN,SUNNY,1997,AUTOMATIC,1500,PETROL
1395000,NISSAN,SUNNY,1992,MANUAL,1700,DIESEL
3785000,NISSAN,SUNNY,2001,AUTOMATIC,1500,PETROL
490000,NISSAN,SUNNY,1977,MANUAL,1300,PETROL
465000,NISSAN,SUNNY,1975,MANUAL,1300,PETROL
3150000,NISSAN,SUNNY,2002,MANUAL,1500,PETROL
5050000,NISSAN,CARAVAN,1995,MANUAL,3000,DIESEL
5350000,NISSAN,DAYZ,2015,AUTOMATIC,650,PETROL
4175000,NISSAN,MARCH,2010,AUTOMATIC,1300,PETROL
410000,NISSAN,SUNNY,1980,MANUAL,1400,PETROL
1600000,NISSAN,SUNNY,1991,MANUAL,1790,PETROL
6350000,NISSAN,CARAVAN,1997,MANUAL,3000,DIESEL
2690000,NISSAN,SUNNY,2002,AUTOMATIC,1500,PETROL
2225000,NISSAN,AD WAGON,1998,MANUAL,1290,PETROL
3475000,NISSAN,SUNNY,2003,AUTOMATIC,1500,PETROL
3150000,NISSAN,SUNNY,1998,AUTOMATIC,1500,PETROL
3450000,NISSAN,SUNNY,2005,AUTOMATIC,1500,PETROL
4300000,NISSAN,TIIDA,2007,AUTOMATIC,1460,PETROL
1950000,NISSAN,VANETTE,1992,MANUAL,1950,DIESEL
5450000,NISSAN,CLIPPER,2018,AUTOMATIC,650,PETROL
2100000,NISSAN,MARCH,1998,MANUAL,1300,PETROL
3350000,NISSAN,SUNNY,1999,AUTOMATIC,1500,PETROL
2200000,NISSAN,SUNNY,1996,MANUAL,1500,PETROL
4390000,NISSAN,TIIDA,2008,AUTOMATIC,1500,PETROL
4680000,NISSAN,VANETTE,2007,MANUAL,1990,DIESEL
4575000,NISSAN,CARAVAN,1992,MANUAL,2500,DIESEL
5675000,NISSAN,CARAVAN,1999,MANUAL,3200,DIESEL
2500000,NISSAN,SUNNY,1997,AUTOMATIC,1500,PETROL
3525000,NISSAN,SUNNY,2001,AUTOMATIC,1500,PETROL
5350000,NISSAN,X-TRAIL,2004,AUTOMATIC,2500,PETROL
1750000,NISSAN,SERENA,1990,AUTOMATIC,1970,DIESEL
3790000,NISSAN,MARCH,2007,AUTOMATIC,1300,PETROL
3775000,NISSAN,SUNNY,2001,AUTOMATIC,1500,PETROL
10800000,NISSAN,X-TRAIL,2015,AUTOMATIC,2000,PETROL
3790000,NISSAN,SUNNY,2001,AUTOMATIC,1600,PETROL
3850000,NISSAN,VANETTE,2000,MANUAL,3000,DIESEL
6650000,NISSAN,VANETTE,2008,AUTOMATIC,1780,PETROL
4750000,NISSAN,LEAF,2015,AUTOMATIC,70,ELECTRIC
2525000,NISSAN,SUNNY,1996,AUTOMATIC,1496,PETROL
5950000,NISSAN,NAVARA,2008,MANUAL,2488,DIESEL
2700000,NISSAN,AD WAGON,2000,AUTOMATIC,1500,PETROL
5400000,NISSAN,VANETTE,2008,AUTOMATIC,1700,DIESEL
2300000,NISSAN,MARCH,2000,AUTOMATIC,1350,PETROL
2350000,NISSAN,BLUEBIRD,2000,MANUAL,1933,DIESEL
2100000,NISSAN,VANETTE,1990,MANUAL,2000,DIESEL
7650000,NISSAN,CARAVAN,1999,MANUAL,3200,PETROL
3500000,NISSAN,CARAVAN,1987,MANUAL,2700,PETROL
1800000,NISSAN,SERENA,1993,MANUAL,1989,DIESEL
5700000,NISSAN,CARAVAN,1994,MANUAL,2660,DIESEL
765000,NISSAN,SUNNY,1985,MANUAL,1500,PETROL
1450000,NISSAN,SUNNY,1989,MANUAL,1720,PETROL
4290000,NISSAN,CARAVAN,1993,MANUAL,2665,DIESEL
