model,map_model_name
N BOX,N BOX
CIVIC EG8,CIVIC
DAA-RU4 VEZEL,VEZEL
INSIGHT ES-T CVT,INSIGHT
E-EF2-CIVIC,CIVIC
CIVIC SR VTEC,CIVIC
DAA-GP4 FIT,FIT
DAA-GP7-SHUTTLE,SHUTTLE
CIVIC EX TECH,CIVIC
CIVIC SE VTEC CVT,CIVIC
VEZEL RS,VEZEL
CIVIC-VJ,CIVIC
N-WGN G STY,N-WGN
CIVIC 1L TURBO EX,CIVIC
CR V VTEC,CR V
CITY,CITY
DBA-JH1N WGN,N WGN
CIVIC EX TURBO VTEC CVT,CIVIC
FIT ARIA,FIT
DAA-RU3 VEZEL RS HYBRID,VEZEL
CIVIC 1.6,CIVIC
DAA-GP2 FIT,FIT
CIVIC EX CUT,CIVIC
DBA-JH2 N WGN,N WGN
CRV-VTL3,CRV
GRACE-DA-GM4,GRACE
DBA-JH1 N WGN CUSTON,N WGN
CITY G41,CITY
INSIGHT ES CVT,INSIGHT
DBA-JH1 N WGN CUSTOM,N WGN
DAA-RU VEZEL,VEZEL
CITY VITEC,CITY
CIVIC SR VTEC CVT,CIVIC
UA-ESI-CIVIC,CIVIC
CIVIC ES,CIVIC
ACTY,ACTY
DAA-FR4 JADE,JADE
FIT HYBRID DAA-GP 5,FIT
N WGN,N WGN
CITY 1.5L CVT,CITY
DAA-ZE3 INSIGHT,INSIGHT
CIVIC AUTO,CIVIC
DBA-RW2 CRV EX-MASTERPIECE,CRV
CITY VEEC,CITY
VEZEL HYBRID Z,VEZEL
VEZEL (DAA-RU3)-HYBRID,VEZEL
CIVIC EX VTEC,CIVIC
CITY 4A,CITY
ACTY GDHH5,ACTY
CIVIC EX,CIVIC
CIVIC 1L,CIVIC
CIVIC SE TURBO,CIVIC
CIVIC EX VTEC CVT,CIVIC
CRV JEEP,CRV
CITY GXI,CITY
N-BOX CUSTOM,N-BOX
CRV AUTO,CRV
CIVIC SR,CIVIC
CRV VTI-L,CRV
DBA-JF3 N BOX,N BOX
DAA-GP7 FIT SHUTTLE,FIT SHUTTLE
DA-RU3-VEZEL,VEZEL
CIVIC-SEDAN,CIVIC
DBA-JF3 N-BOX CUSTOM,N-BOX
CRV-VTI-S,CRV
DAA -GP5 -FIT HYBRID,FIT
DBA-JW5 S660 SPORT,S660
CIVIC ES1-AUTO,CIVIC
CIVIC EK3-MANNUAL,CIVIC
CIVIC-99,CIVIC
CIVIC EX-HATCHBACK,CIVIC
CITY VTEC,CITY
CRV-WAGON,CRV
CIVIC SR-HATCHBACK,CIVIC
CIVIC FD3-UK,CIVIC
CIVIC ES1-MANNUAL,CIVIC
CIVIC VTEC CVT,CIVIC
CRV 2.0A,CRV
CRV A SPORTS,CRV
CIVIC EH 957-KQ,CIVIC
CRV2.0A,CRV
CITY 1.5L A,CITY
CIVIC EK3-AUTO,CIVIC
DAA-GPI FIT,FIT
CITYVTEC A,CITY
6AA-ZE4 EX INSIGHT,INSIGHT
CIVIC 1.0EX,CIVIC
CIVIC FERIO UA-ES1,CIVIC
CIVIC SE-HATCHBACK,CIVIC
CIVIC FD4-MANNUAL,CIVIC
CIVIC FD1-AUTO,CIVIC
CIVIC ES8-AUTO,CIVIC
DAA-ZE2 HYBRID INSIGHT,INSIGHT
DAA-RU3 VEZEL HYBRID,VEZEL
GAA-GP7-SHUTTLE,SHUTTLE
CITY VTEC M,CITY
DBA-GD9 FIT,FIT
LEB-H1 3056183 FIT,FIT
DBA-RW1 CRV,CRV
CIVIC 1.0 CVT,CIVIC
FIT-LAGD1,FIT
DBA-RW2 CRV,CRV
CITY ABS4A,CITY
