model,map_model_name
DAA-NKE165 AXIO,AXIO
CARINA GF AT211,CARINA
PRIUS T4 VVT1-CVT,PRIUS
DBA-SCP90 VITZ,VITZ
VITZ,VITZ
CORSA,CORSA
PRIUS DAA-ZVW20,PRIUS
DAA-ZVW30 PRIUS,PRIUS
PRIUS,PRIUS
LAND CRUISER,LAND CRUISER
CARINA AT 150,CARINA
DBA-QNC10 PASSO,PASSO
CAMRY2000,CAMRY
HILUX KUN25R-PRMDH,HILUX
COROLLA SEDAN,COROLLA
HILUX ROCCO,HILUX
COROLLA KE74,COROLLA
DBK-KSP130 VITZ,VITZ
CORONA AT150,CORONA
CARINA ST180,CARINA
HILUX REVO G,HILUX
LDF-KDH223B HIACE,HIACE
DBA-ZSU65W-HARRIER,HARRIER
STARLET E-EP71,STARLET
TDBA-KSP130 VITZ F,VITZ
COROLLA KE72V,COROLLA
AA60-CARINA,CARINA
CORONA-AT140,CORONA
CR27-TOWNACE,CR27
PRIUS T3 VVT-1,PRIUS
VITZ F,VITZ
DAA-NKE165 AXIO WXB,AXIO
LDF-KDH211K HIACE,HIACE
CAMI-JEEP,CAMI
COROLLA AE81,COROLLA
HIACE ADF-KDH221K,HIACE
ROOMY,ROOMY
ALLION UA-ZZT240,ALLION
DBA-KSP 130 VITZ F,VITZ
HILUX INVINCIBLE,HILUX
E-AE100 COROLLA,COROLLA
PRIUS DAA-ZVW41 W,PRIUS
DBA-NCP110 IST,IST
DAA-ZVW80G VOXY,VOXY
AXIO HYBRID-WXB,AXIO
LITEACE 5DR,LITEACE
AT150-CARINA,CARINA
TOWNACE GA-KR4,TOWNACE
DAA-ZVW50 PRIUS,PRIUS
5BA-M700A PASSO,PASSO
DAA-NKE165 COROLLA AXIO,AXIO
HILUX REVO (ROCCO) (GUN126R-DTTHHT),HILUX
CORONA AT190,CORONA
PREMIO EX,PREMIO
DAA-NKE165 AXIO HYBRID,AXIO
COROLLA 1.6A,COROLLA
CARINA KA67V,CARINA
SPRINTER-EE80,SPRINTER
CBF-TRH200V HIACE GL,HIACE
DBA-LA300A PIXIS,PIXIS
DBA-LA700A PIXIS,PIXIS
RAIZE,RAIZE
CBF-TRH200K HIACE,HIACE
CBA-URJ202W LAND CRUISER,LAND CRUISER
CBA-NZE121 COROLLA,COROLLA
HIACE LH 70 B,HIACE
HIACE KDH202R,HIACE
KE74V-COROLLA,COROLLA
DBA-M900A/ROOMY,ROOMY
DA-NHP10 AQUA,AQUA
DAA-ZWR80G VOXY,VOXY
HILUX HL 3 DOUBLE CAB,HILUX
LH 50 HIACE,HIACE
PREMIO-EX-NZT260,PREMIO
LAND CRUISER LC5,LAND CRUISER
HIACE KG-LH172V,HIACE
AXIO WXB,AXIO
HILUX VIGO 3.03,HILUX
EE90-COROLLA,COROLLA
PIXIS EPOCH DBA-LA300A,PIXIS
HILUX VIGO 3.0G,HILUX
HIACE LH60V,HIACE
HILUX HL2 D-4D,HILUX
HILUX 4WD,HILUX
KSP 130-VITZ,VITZ
EBD-S321M PIXIS VAN,PIXIS
YARIS HYBRID LCON,YARIS
DBA-M900A ROOMY,ROOMY
HILUX REVO ROCCO,HILUX
DBA-NZE141 COROLLA,COROLLA
DBA-M900A TANK,TANK
MS135R-CROWN,CROWN
AXIO (DAA-NKE165) HYBRID,AXIO
HILUX REVO GUN126R-DTTHHT,HILUX
CBA-ACU35W HARRIER,HARRIER
HIACE-U-LH119V,HIACE
COROLLA-EE96V,COROLLA
QDF-GDH201V/HIACE,HIACE
URJ202W LAND CRUISER,LAND CRUISER
5BA-A200A RAIZE,RAIZE
LH113V,LH113
KC-LH113V,LH113
HIACE KR-KDH222B,HIACE
CORONA AT170,CORONA
LDF-KDH206V HIACE,HIACE
GUN126R HILUX REVO,HILUX
HILUX VIGO SMART CAB,HILUX
SPRINTER XL,SPRINTER
PIXIS MEGA,PIXIS
LAND CRUISER PRADO,LAND CRUISER
SV30 CAMRY,CAMRY
TOWNACE-KB CR41V,TOWNACE
DLA-ZVW35 PRIUS,PRIUS
DAA-MHU38W HARRIER,HARRIER
HIACE KDH22R-LEMDYT,HIACE
5BA-A210A RAIZE,RAIZE
LEXUS HARRIER,HARRIER
5BA-KSP210 YARIS,YARIS
SPRINTER (KD-CE110),SPRINTER
LITEACE-KB-CR41V,LITEACE
SOLUNA GLI M,SOLUNA
LH113R PRMRS,LH113
KDH22R-HIACE,HIACE
DBA-M700A PASSO,PASSO
COROLLA KE27,COROLLA
SOLUNA VIOS,SOLUNA
AXIO WXI,AXIO
DBA-NGX10 CHR-GT,CHR
TOWNACE-GC-KR42V,TOWNACE
HARRIER (JEEP),HARRIER
HIACE LH222R,HIACE
COROLLA AE80,COROLLA
TC-TRH102V HIACE,HIACE
HIACE LH114,HIACE
CORONA 1.8,CORONA
DAA-NHP10 AQUA HYBRID,AQUA
HILUX-DOUBLE,HILUX
KDH200R HIACE,HIACE
TANK,TANK
COROLLA EE80,COROLLA
VIOS 1 5A,VIOS
5BA-A200A RAIZE Z,RAIZE
DAA-AZK10 SAI,SAI
GK-KR42V TOWNACE,TOWNACE
KR-KDH205V HIACE,HIACE
COROLLA 141,COROLLA
DAB-NZE141 AXIO,AXIO
DAA-ZVW30 PRIUS S TOURUING,PRIUS
PREMIO UA-ZZT240,PREMIO
TOYOTA VIOS,VIOS
PRIUS 4 GEN,PRIUS
LH113V2770C,LH113
S-CR27V. VAN,CR27
HILUX 4WD KUNI25R,HILUX
TOYOTA/VIOS 1.5EA,VIOS
HIACE KDH222R LEMDYT,HIACE
CBA-NZT240 PREMIO,PREMIO
CAMRY HYBRID,CAMRY
AXIO(DAA-NKE165) HYBRID-NEW FACE,AXIO
AQUA DAA-NHP10,AQUA
HILUX GUN126RDTTLH,HILUX
PRIUS T3 VVT-I AUTO,PRIUS
SPRINTER SE,SPRINTER
STARLET(E-EP91),STARLET
COROLLA 121XLI,COROLLA
CARINA E-AT212,CARINA
CBA-NCP60 IST,IST
HIACE LH30V,HIACE
KR-KDH220K HIACE,HIACE
DAA-ZVW1629 PRIUS,PRIUS
LH113 HIACE,LH113
PRIUS T4VVT-1,PRIUS
A 1.5 ALLION,ALLION
COROLLA FEILDER,COROLLA
CBA-NZT240 ALLION,ALLION
COROLLA-CERES,COROLLA
PRIUS DAA 2V1530,PRIUS
HILUX VIGO/KUN26R,HILUX
DBA-NZE141/COROLLAAX,COROLLA
ACA33R-ANPGKQ RAV4,RAV4
AT170 CARINA,CARINA
5BA-LA350A PIXIS,PIXIS
COROLLA EE111,COROLLA
HIACE GL LH 113V,HIACE
EE100-COROLLA,COROLLA
DBA-M910A TANK,TANK
HILUX HL3 D-4D 4/4,HILUX
AXIO DBA-NZE141,AXIO
HIACE ADF-KDH223B,HIACE
HILUX HL2D-4D 4X4D/C,HILUX
HILUX HL3D-4 D4*4 DCB,HILUX
HILUX HL 2D4-D,HILUX
PRIUS 3 GEN,PRIUS
COROLLA-EE103V,COROLLA
PRIUS 2 GEN,PRIUS
NCP92R-BEPRK YARIS,YARIS
DAA-ZVW30 PRIUS G SPORT,PRIUS
DBA-M910A ROOMY,ROOMY
TERCEL EL55,TERCEL
CBA-ZNT240 ALLION,ALLION
PRIUS T SPRIT,PRIUS
CORONA CT190,CORONA
LH113K,LH113
DAA-ZVW30 PRIUS S GRADE,PRIUS
CARINA GF..AT211,CARINA
LH51V HIACE,HIACE
ADF-KDH211K HIACE,HIACE
TERCEL EL41,TERCEL
VITZ KSP130,VITZ
HIACE KR-KDH200V,HIACE
HARRIER-GF-SXU15W,HARRIER
ZWR80G-VOXY,VOXY
COROLLA-UAZZE12,COROLLA
AXIO X-NEW FACE,AXIO
AXIO G-NEW FACE,AXIO
PRIUS T4 VVT-1 AUTO,PRIUS
DA-ZRT260-PREMIO,PREMIO
VIOS 1.5E,VIOS
CM35 LITEACE,LITEACE
DBA-ZRR70G NOAH,NOAH
KC-LH113K,LH113
COROLLA ZZE122,COROLLA
CARINA AT192,CARINA
CBA-ACU30W HARRIER,HARRIER
HIACE KDH223R-LEMDYT,HIACE
HIACE VAN,HIACE
HIACE U LH125B,HIACE
DAA-ZVW30 PRIUS G TOURUING,PRIUS
DAA-ZVW30 PRIUS G GRADE,PRIUS
DAA-ZVW30 PRIUS L GRADE,PRIUS
LAND CRUISER GHUZJ100W,LAND CRUISER
IST CBA-NCP60,IST
COROLLA DX,COROLLA
E-ST190 CORONA,CORONA
HILUX INVINCIBLE D4D,HILUX
5BA -M700A PASSO,PASSO
VITZ GH-SCP10,VITZ
HIACE280 D-4D PANEL,HIACE
DAA-NZE165 AXIO,AXIO
HIACE KG- LH178V,HIACE
COROLLA 120,COROLLA
COROLLA-EE104,COROLLA
DBA-ACV40 CAMRY,CAMRY
COROLLA AF100,COROLLA
DBA-NCP91 VITZ,VITZ
COROLLA 2,COROLLA
HILUX 2WD,HILUX
HIACE COMMUTER,HIACE
CR 27-TOWNACE,TOWNACE
DBA-NRE160 COROLLA,COROLLA
DAA ZWR80G VOXY,VOXY
DAA . ZVW40 W PRIUS,PRIUS
HIACE KDH222R LEPNY,HIACE
HIACE KDH222R-LEMDY,HIACE
DAA-NKE165 COROLLA A,COROLLA
COROLLA KD-CE110,COROLLA
R-EE96V-COROLLA,COROLLA
DBA-NZT 260 PREMIO-G SUPERIOR,PREMIO
TERCEL (EL50R.AEMDS),TERCEL
HIACE-CLOSED,HIACE
PRIUS T3,PRIUS
LDF-KDH221K HIACE,HIACE
VELLFIRE DBA-ANH20W,VELLFIRE
KUN26R HILUX VEGO,HILUX
DAA-NJHP10 AQUA,AQUA
CHR,CHR
RUSH F800RE GQGF,RUSH
HIACE REGIUS,HIACE
UA-NZT240 PREMIO,PREMIO
HIACE KDH202R RDMNYT,HIACE
DBA-L575A PIXIS,PIXIS
PRIUS T SPIRIT VV.,PRIUS
COROLLA-AE100,COROLLA
DBA-LA350A PIXIS,PIXIS
E-AT170-CORONA,CORONA
AE81-COROLLA,COROLLA
HILUX ROCC0 B4,HILUX
COROLLA AXIO HYBRID,AXIO
HIACE-KC-LH103V,HIACE
LH51V-HIACE,HIACE
COROLLA TA-ZZE122,COROLLA
PRIUS DAA-ZVW30,PRIUS
HILUX GUN126R-DTTHH,HILUX
R-EE96U COROLLA,COROLLA
FORTUNER JEEP,FORTUNER
RAV4 J(JEEP),RAV4
HIACE280 D-4D95 SWB,HIACE
TA-NZE121 COROLLA,COROLLA
CARINA TI MY ROAD,CARINA
TOWNACE D/VAN,TOWNACE
EBD-S5OOU PIXIS,PIXIS
E-EP82/STARLET,STARLET
LH61V HIACE,HIACE
E.EE101COROLLA,COROLLA
DBA-3CP92 BELTA,BELTA
HILUX HL3D-4D4X4DCB,HILUX
COROLLA-GF-AE100G,COROLLA
KR-KDH200K HIACE,HIACE
U-LH113V VAN,LH113
AT192 CARINA,CARINA
HIACE KDH222R .LEMDYI,HIACE
HIACE GE-RZH82K,HIACE
E-EL30-COROLLA,COROLLA
DBA-SCP92 BELTA,BELTA
SPRINTER-AE91,SPRINTER
EP82-STARLET,STARLET
DBA-NGX10 CHR,CHR
CE90 COROLLA,COROLLA
EE107V-COROLLA,COROLLA
CARINAL,CARINA
HILUX- KUN 25R,HILUX
DAA-ZVW41W PRIUS,PRIUS
DAA-AVV50 CAMRY,CAMRY
COROLLA CE 114,COROLLA
COROLLA EE 102,COROLLA
HIACE SUPER,HIACE
