model,map_model_name
LANCER,LANCER
MONTERO,MONTERO
GALANT,GALANT
LANCER CB8,LANCER
LANCER CK2,LANCER
LANCER GL,LANCER
GA-PA3V(DELICA),DELICA
TC-SK82TM DELICA,DELICA
GC-SK82VM DELICA,DELICA
E-C62A-LANCER,LANCER
L200 DIAMOND DI-D,L200
DELICA FREEZEER,DELICA
LIBERO CB 1V,LIBERO
MIRAGE,MIRAGE
DELICA,DELICA
DELICA GC-SK82V M,DELICA
SHOGUN,SHOGUN
LANCER GLX,LANCER
RVR -GF -71W,RVR
PAJERO IO,PAJERO
L200 ANIMAL DI,L200
ABF-SK82VM DELICA,DELICA
L200 TROJAN,L200
MIRAGE CKIA,MIRAGE
LANCER CEDIA,LANCER
KH4WGRPZR MONTERO,MONTERO
L200 WARRIOR,L200
STRADA,STRADA
CBA-V93W PAJERO,PAJERO
ATTRAGE,ATTRAGE
CB3A LANCER,LANCER
OUTLANDER 2.4L PETROL,OUTLANDER
OUTLANDER,OUTLANDER
RVR,RVR
RVR-N28W,RVR
PAJERO,PAJERO
OUTLANDER DLA-GG2W,OUTLANDER
PAJERO JR,PAJERO
OUTLANDER PHEW,OUTLANDER
MONTERO 3.2L GLS,MONTERO
PO2 DELICA,DELICA
OUTLANDER PHEV,OUTLANDER
MONTERO V96WLNDFR,MONTERO
L200,L200
DELICA LO31PV,DELICA
MONTERO V98WLYXZSR,MONTERO
LANCER E-A172A,LANCER
C11A MIRAGE,MIRAGE
E-CB3A LANCER,LANCER
LANCER C62ASNJR,LANCER
J24R,J24
KA4TNENMR L200,L200
PAJERO L049,PAJERO
A03AXTMHR-MIRAGE,MIRAGE
KL3TJNHFR SPORTERO,SPORTERO
LANCER C12V,LANCER
LANCER C12A,LANCER
CW5WXTSHZR OUTLANDER,OUTLANDER
KD-N28WG(RVR),RVR
MONTERO GLS,MONTERO
C11A.LANCER,LANCER
LANCER C11V,LANCER
PAJERO 10 JEEP,PAJERO
LANCER EVOLUTION,LANCER
PAJERO L048,PAJERO
SHOGUN WARRIOR GDI,SHOGUN
V76WLRXFR MONTERO,MONTERO
SHOGUN SG3 DI-D LWD AUTO,SHOGUN
CY1ASRSHR LANCER EX,LANCER
V93WLRXVQR MONTERO,MONTERO
EK WAGON,EK WAGON
L-C11V LANCER,LANCER
L200-4WORK DI.D/C,L200
DELICA LO38P,DELICA
V93WLRXVR/MONTERO,MONTERO
GALANT E52ASNHR,GALANT
EK SPACE CUSTOM,EK SPACE
LIBERO,LIBERO
LANCER C11A,LANCER
LANCER 1.6A,LANCER
CS1ASNDER LANCER,LANCER
LANCER CK2ASNIR,LANCER
MONTERO JEEP,MONTERO
DBA-B11W EK CUSTOM,EK CUSTOM
DELICA L300,DELICA
DBA-B11WEK WAGON,EK WAGON
LANCER CB1 ASNMR,LANCER
ECLIPSE CROSS AWD,ECLIPSE CROSS
PAJERO JEEP,PAJERO
V73WLRXVR MONTERO,MONTERO
LANCER-A149V,LANCER
ECLIPSE CROSS,ECLIPSE CROSS
L200 ANIMAL,L200
LANCER CS2 ASTHERID,LANCER
XPANDER,XPANDER
E-CB3A MIRAGE,MIRAGE
TA-V75W PAJERO,PAJERO
DELICA HO31P,DELICA
DBA-B11A EK SPACE,EK SPACE
PAJERO IO JEEP,PAJERO
L200 SPORTERO,SPORTERO
GF3WXTMGZR OUTLANDER,OUTLANDER
OUTLANDER DLA-GG3W,OUTLANDER
LANCER CK1ASNDR,LANCER
LANCER CK1,LANCER
V 78W-PAJERO,PAJERO
GG2WXDHHZR OUTLANDER,OUTLANDER
DBF-BVM20 DELICA,DELICA
L200 ANIMAL DI-DD/C,L200
LANCER CYZASRMHR,LANCER
CHARIOT,CHARIOT
CSIASNDER/LANCER,LANCER
PAJERO NJEEP,PAJERO
RVR-JEEP,RVR
MONTERO IO JEEP,MONTERO
LANCER CY2A,LANCER
V93WLYXZSR MONTERO,MONTERO
LANCER CS3,LANCER
LANCER CB1,LANCER
PAJERO V44,PAJERO
KS3WGYMFR MONTERO,MONTERO
L200(DOUBLE CAB),L200
MONTERO IO,MONTERO
DELICA-KC-P15V,DELICA
LANCER-CK2ASNJR,LANCER
DLA-GG2W OUTLANDER,OUTLANDER
PAJERO V46,PAJERO
L200 KB4TGJNHZRU,L200
DELICA ADF-SKF2VM,DELICA
A13ASTHHR-ATTRAGE,ATTRAGE
LANCER CK2ASNJR,LANCER
LANCER 1.3M,LANCER
SEDIA SEDAN LANCER,LANCER
V98WLYXZSR MONTERO,MONTERO
LANCER.CK1ASNDR,LANCER
CK2ASNJR LANCER,LANCER
DBA-CS2A LANCER,LANCER
L200 K34TJUNSR,L200
V96W-MONTERO,MONTERO
L200 DIAMOND,L200
PAJERO JEEP LAV73W,PAJERO
CS3ASRJER LANCER,LANCER
L200 4 WORK,L200
A03AXTHHR-MIRAGE,MIRAGE
MONTERO SPORTS,MONTERO
MONTERO V73,MONTERO
MONTERO V76WLRXFR,MONTERO
LANCER CS1,LANCER
V46 PAJERO,PAJERO
LANCER MX,LANCER
PAJERO V98W,PAJERO
V98WL YXZSR MONTERO,MONTERO
