model,map_model_name
SWIFT,SWIFT
BALENO ZETA,BALENO
ALTO K10 VXI AMT,ALTO K10
DAA-MH55S WAGON R,WAGON R
DAA-MK42S SPACIA,SPACIA
ALTO - JAPAN,ALTO
SPACIA,SPACIA
HBD-HA36V ALTO,ALTO
ABA-HA23S ALTO,ALTO
HUSTLER J-STYLE (DAA-MR41S),HUSTLER
DAA-MH55S WAGON R HYBRID FX,WAGON R
HBD-DA17V EVERY,EVERY
WAGON R-VXI,WAGON R
EVERY DA 17V,EVERY
SWIFT HYBRID,SWIFT
CBA-WB42S (BALENO),BALENO
WAGON R PREMIUM HYBRID,WAGON R
HUSTLER HYBRID,HUSTLER
ABA-DA17W (EVERY WAGON),EVERY
WAGON R FX,WAGON R
DAA-MH55S WAGON R HYBRID FZ,WAGON R
DBA-ZC53S SWIFT,SWIFT
GBD-HA24V ALTO,ALTO
DAA-MH5S WAGON R,WAGON R
LIANA 1.3M4,LIANA
WAGON R HYBRID FZ SAFETY,WAGON R
DBA-MH34S WAGON R,WAGON R
ABA-DA17W (EVERY),EVERY
ALTO 800 VXI,ALTO
LIANA 1.3MT,LIANA
DBA-ZC13S SWIFT RS,SWIFT
HBD-HA36V ALTO VP,ALTO
CELERIO X ZXI (O),CELERIO
WAGON R FZ SAFETY,WAGON R FZ SAFETY
ALTO,ALTO
HBD-EVERY JOIN,EVERY
ALTO ECO,ALTO
DAA-MH55S WAGON R FXD,WAGON R
ABA-DA17W EVERY WAGO,EVERY
DBA-HA35S ALTO,ALTO
WAGON R-TURBO,WAGON R
SPACIA COSTOM Z DAA-MK42S,SPACIA
VITARA SZ-T BOOSTER JET AUTO,VITARA
EVERY PA 660 AUTO,EVERY
ALTO LXI 800,ALTO LXI
DBA-ZC13S SWIFT,SWIFT
CELERIO X ZXI AMT (O),CELERIO
WAGON R PREMIUM,WAGON R
LA-HT51S SWIFT,SWIFT
EVERY ABA-DA64W,EVERY
WAGON R X (DAA-MH55S),WAGON R
WAGON R STTINGRAY T,WAGON R
DAA-MK55S WAGON R,WAGON R
SWIFT Z XI,SWIFT
DAA-MH55S WAGON R STINGRAY,WAGON R STINGRAY
CELERIO X ZXI (O) AGS,CELERIO
WAGON R STINGRAY T / DAA-MH55S,WAGON R STINGRAY
HBD-DA17V EVERY PC GRADE,EVERY
EVERY WAGON,EVERY
WAGON R HYBRID FZ,WAGON R
DAA-ZC53S SWIFT RS HYBRID,SWIFT
HBD- EVERY,EVERY
ALTO RS,ALTO
DAA-MH55S WAGON R FX,WAGON R
DAA-MK42S SPACIA X,SPACIA
DAA-MH44 WAGON R,WAGON R
HDB-DA17V-EVERY,EVERY
SWIFT- GLX,SWIFT
GBD-DA64V EVERY,EVERY
HBD-HA25V ALTO,ALTO
LA-HA23S ALTO,ALTO
DAA-H55S WAGON R,WAGON R
LIANA 1.3 M,LIANA
EVERY ( V-DF51V),EVERY
DAA-MH448 WAGON R,WAGON R
DAA-MH555 WAGON R ST,WAGON R
WAGON R DAA-MH44S,WAGON R
DAA-ZC53S SWIFT,SWIFT
ALTO SB308GA,ALTO
SWIFT VXI,SWIFT
DAA-MN71SXBEE,XBEE
DAA-ZC53S SWIFT HYBRID,SWIFT
SWIFT ZC71S,SWIFT
DBA-ZC21S SWIFT,SWIFT
GD-DB52V EVERY,EVERY
DAA-MH44S WAGON R,WAGON R
EVERY TRUCK,EVERY
BALENO GL,BALENO
ZEN ESTILO VXI,ESTILO
CBA-WB42S BALENO,BALENO
DBA-HA36S ALTO,ALTO
DBA-HA365S ALTO,ALTO
DAA MKI42S SPACIA,SPACIA
HBD-D17V EVERY,EVERY
ABA-DA17W EVERY WAGON,EVERY
SWIFT 1.5 OL,SWIFT
DAA MH44A WAGON R,WAGON R
VITARA XZ-T,VITARA
WAGON R FZ MH44S,WAGON R FZ
SWIFT ZC21S,SWIFT
CBA-ZC31S SWIFT,SWIFT
PC MODEL EVERY VAN,EVERY
DBA-HA25S ALTO,ALTO
SPACIA XS TURBO CUSTOM,SPACIA
SWIFT RS,SWIFT
DAA-MK42S (SPACIA CUSTOM),SPACIA
HBD-KDA64V EVERY,EVERY
EBD-DA64V EVERY,EVERY
CULTUS AB44S,CULTUS
HBD-DA64V EVERY JOIN,EVERY
DBA-ZC11S SWIFT,SWIFT
DAA-ZC43S SWIFT,SWIFT
DAA - ZC53S SWIFT,SWIFT
BALENO K10C GLX,BALENO
DAA-MK42S SPACIA CUSTOM Z HYBRID,SPACIA
DAA-MK42S SPACIA HYBRID,SPACIA
DAA-MH44S WAGON R FX LIMITED,WAGON R
SPACIA XS TURBO,SPACIA
DAA-MK42S(SPACIA XS TURBO HYBRID),SPACIA
EVERYVAN,EVERY
ABA-DA64V EVERY,EVERY
DBH-HA36S ALTO,ALTO
HBD-DA64V EVERY,EVERY
HBD-DR17V EVERY,EVERY
CBA ZC31S SWIFTSPORT,SWIFT
SWIFT-GLX,SWIFT
GBD HA24V ALTO,ALTO
FBD.DA64V EVERY,EVERY
DBA-ZC72S SWIFT,SWIFT
DAA-MH44S WAGON R STINGRAY,WAGON R STINGRAY
CELERIOX ZXI(O) AGS,CELERIO
DBA-ZC71S SWIFT,SWIFT
GRAND VITARA 2.0VVT,GRAND VITARA
DAA-MH44S WAGON R FZ,WAGON R FZ
WAGON R FZ MH55S,WAGON R FZ
ALTO SPORT PLUS,ALTO
V-DE51V-EVERY,EVERY
CELERIO VXI,CELERIO
CELERIO ZXI,CELERIO
DAA-MR41S HUSTLER X,HUSTLER
HUSTLER,HUSTLER
CELERIO ZXI M/T,CELERIO
CELERIO LXI,CELERIO
DAA-MH44SS-WAGON R FZ HYBRID,WAGON R FZ
ALTO K10 VXI MT,ALTO K10
ALTO LXI 800 SPORT PLUS,ALTO LXI
MARUTI ERTIGA ZXI,MARUTI
CELERIO VXI AT,CELERIO
ALTO 800 LXI,ALTO
CELERIO LXI MT,CELERIO
MARUTI A-STAR VXI,A-STAR
EVERY HBD-DA64V,EVERY
CELERIO ZXI AMT (O),CELERIO
DAA-MH41S HUSTLER,HUSTLER
WAGON R J-STYLE,WAGON R
WAGON R HYBRID,WAGON R
DAA-MH44S-WAGON R,WAGON R
MARUTI SWIFT VXI,MARUTI
CELERIO,CELERIO
WAGON R STINGRAY,WAGON R STINGRAY
ALTO GL,ALTO
MARUTI ERTIGA LXI,MARUTI
ALTO VXI,ALTO
VITARA,VITARA
DBA-HA24S ALTO,ALTO
LIANA,LIANA
EVERY EBD-DA64V,EVERY
ALTO K10-VXI,ALTO
MARUTI ALTO LXI,ALTO LXI
MARUTI VAN,MARUTI
SWIFT INDIAN,SWIFT
ZEN ESTILO,ESTILO
ALTO K10,ALTO
MARUTI ZEN,MARUTI
WAGON R,WAGON R
EVERY,EVERY
MARUTI 800,MARUTI
EVERY GD-DA52V,EVERY
EVERY LE-DA62V,EVERY
MARUTI 800 ULTIMATE,MARUTI
VITARA JEEP,VITARA
GRAND VITARA,GRAND VITARA
UA HT51S SWIFT,SWIFT
SWIFT 1.5 VVT,SWIFT
ALTO 800CC,ALTO
CULTUS,CULTUS
EVERY TE-DA62V,EVERY
CELERIO VXI AMT,CELERIO
ALTO LXI,ALTO LXI
ALTO SPORT 800CC,ALTO
EVERY EDB-DA64V,EVERY
DBA-HA36S-ALTO,ALTO
VITARA SZ-T,VITARA
DAA-MK53S SPACIA HYBRID,SPACIA
EVERY JOIN,EVERY
WAGON R HYBRID DAA . MH44S,WAGON R
DAA-MH55S WAGON R FZ,WAGON R FZ
WAGON R 650CC,WAGON R
TE-DA62V-EVERY,EVERY
WAGON R FZ,WAGON R FZ
EBD-A464V EVERY,EVERY
DAA-MH55S WAGON R HYBRID (STINGRAY),WAGON R
SPACIA CUSTOM,SPACIA
WAGON R FX SAFETY,WAGON R
WAGON R HYBRID DAA-MH55S,WAGON R
DAA-MK53S SPACIA CUSTOM,SPACIA
DBA-ZC13S SWIFT RST,SWIFT
WAGON R STINGRAY X,WAGON R STINGRAY
ALTO - INDIAN,ALTO
CRESENT CULTUS,CULTUS
WAGON R STINGRAY HYBRID X,WAGON R STINGRAY
JIMNY JEEP,JIMNY
SWIFT RS TURBO,SWIFT
DAA-ZC 53S SWIFT,SWIFT
DAA-MH55S WAGON R FZ SAFETY PACKAGE,WAGON R FZ SAFETY
EVERY (GD-DB52V),EVERY
WAGON R FX NON SAFETY,WAGON R
HBD-DA17V EVERY VAN,EVERY
ALTO L,ALTO
CULTUS (GF GC21S),CULTUS
HBD-DA17V EVERY (WAGON),EVERY
SPACIA CUSTOM Z,SPACIA
SPACIA HYBRID,SPACIA
WAGON R STINGRAY X (DAA-MH55S),WAGON R STINGRAY
DAA MK42S SPACIA- G LIMITED,SPACIA
BALENO,BALENO
DAA-MR41S HUSTLER,HUSTLER
SPACIA CUSTOM XS,SPACIA
SPACIA X,SPACIA
JIMNY,JIMNY
SPACIA G,SPACIA
BALENO ZETA CVT,BALENO
MK53S SPACIA HYBRID,SPACIA
HBD-DA17V EVERY JOIN VAN,EVERY
SWIFT ZC13S RS TURBO,SWIFT
DAA-MN71 XBEE,XBEE
SWIFT UA-HT51S,SWIFT
DBA-HA36S ALTO WORKS,ALTO
DAA-MH55S WAGON R HYBRID FX NON SAFETY,WAGON R
EVERY CARGO,EVERY
WAGON R FZ SAFETY DAA-MH55S,WAGON R FZ SAFETY
EBD-DA17V / EVERY,EVERY
SPACIA DAA-MK53S,SPACIA
SWIFT DZIRE,SWIFT
BALENO 1.0 LTR GLX 6,BALENO
DAA-MK53S SPACIA,SPACIA
ALTO INDIAN,ALTO LXI
800,MARUTI
A-STAR VXI,A-STAR
WAGON R J-STYLE,WAGON R STINGRAY
ALTO K10 VXI,ALTO K10
