model,map_model_name
CITY,CITY
CIVIC,CIVIC
GRAND CIVIC,CIVIC
CIVIC EK3,CIVIC
HONDA CRV,CRV
HONDA HRV,HRV
CIVIC HYBRID,CIVIC
INSIGHT HYBRID,INSIGHT
HONDA ACTY,ACTY
UA-ESI-CIVIC,CIVIC
ACTY LORRY,ACTY
INSIGHT,INSIGHT
LA-GD8,FIT
E-EG8,CIVIC
GD-HA6,ACTY
DBA-GD8,FIT
CIVIC EXI,CIVIC
DAA-ZE2,INSIGHT
FD3,CIVIC
CITY VTEC 4M,CITY
DAA-GP1,FIT
EG8 CIVIC,CIVIC
GD-HH5,ACTY
DBA-GD1 FIT,FIT
DBA-FD1 CIVIC,CIVIC
FIT HYBRID,FIT
DAA-GP2 (FIT SHUTTLE),SHUTTLE
FIT HYBRID (GP1),FIT
GH-CF3-ACCORD,ACCORD
FIT DBA-GE6,FIT
DAA-GP3,FIT
LA-GD1,FIT
GBD-HH6,ACTY
DAA-GP1 FIT,FIT
V-HH4,ACTY
DAA-GP4,FIT
GBD-HH5,ACTY
FREED,FREED
DAA ZF1 -CRZ,CRZ
DBA-GD6 FIT ARIA,FIT ARIA
CITY VTEC 4A,CITY
FIT ( SHUTTLE ),SHUTTLE
DBA-GD9,FIT
CIVIC EG7,CIVIC
DAA-GP2,FIT
CRX,CIVIC
ACCORD EXi,ACCORD
DAA-GP3-SPIKE,FREED
FIT RS-Hybrid,FIT
DAA-ZF2,CRZ
DAA-GP5,FIT
Vezel RU3 Z,VEZEL
DAA-ZE3,INSIGHT
GF-EK2,CIVIC
CITY 4M,CITY
GF-GH3,HRV
DAA-RU4 VEZEL,VEZEL
DAA-ZE2-INSIGHT,INSIGHT
DAA-GP5 - FIT S HYBRID,FIT
V-HH3,ACTY
VEZEL HYBRID X GRADE,VEZEL
DAA-RU3,VEZEL
DAA GP5 FIT - F,FIT
CIVIC FERIO ES1,CIVIC
DAA-GP5 FIT-L-PKG-HYBRID,FIT
RU3,VEZEL
VEZEL,VEZEL
DAA-GP1 FIT SELECTION,FIT
ARIA GD6,FIT
DAA-GMA GRACE,GRACE
LA-GD6,FIT
GRACE,GRACE
DAA-GM4,GRACE
DAA-FD3,CIVIC
V-HA3,ACTY
DAA-GM4 GRACE,GRACE
DAA GP5 - FIT,FIT
GRACE EX,GRACE
