model,map_model_name
MICRO TREND,TREND
KYRON,KYRON
PANDA,PANDA
PANDA L.C 1.3,PANDA
PANDA CROSS,PANDA
MX 7 MARK II,MX 7
PANDA L.C 1.0,PANDA
REXTON270XDI,REXTON
PANDA 1.0HI,PANDA
PANDA 1.0,PANDA
ACTYON SPORTS,ACTYON
PANDA LC 1.0 STANDARD,PANDA
KYRON 200XDI,KYRON
EMGRAND 7,EMGRAND
PANDA GB 1.0,PANDA
PANDA GB 1.0 STANDARD,PANDA
PANDA GS 1.0 STANDARD,PANDA
PANDA GL,PANDA
PANDA LC 1.0 - COMFORTABLE,PANDA
PANDA 1.3GS,PANDA
PANDA GS,PANDA
PANDA 1.3,PANDA
BAIC X25 ELITE 1.5,BAIC
TIVOLI,TIVOLI
PANDA 1.0 AUTO,PANDA
PANDA CROSS 1.0 AUTO,PANDA
SSANG YONG TIVOLI DLX HI-SPEC (PETROL),TIVOLI
PANDA CROSS 1.0,PANDA
SSANG YONG TIVOLI DLX (PETROL),TIVOLI
BAIC X25,BAIC
TREND,TREND
PANDA AUTO,PANDA
PANDA AMT,PANDA
PANDA CROSS AMT,PANDA
BAIC D20 COMFORT 1.5 SEDAN,BAIC
PANDA LC 1.0 AMT-COMFORTABLE,PANDA
PANDA CROSS 1.3,PANDA
PANDA LC 1.0,PANDA
PANDA LC 1.3,PANDA
ACTYON SPORTS 200XDI,ACTYON
REXTON 270 XDI,REXTON
