model,map_model_name
SUNNY-FB15,SUNNY
MARCH,MARCH
BLUEBIRD,BLUEBIRD
SUNNY FB13,SUNNY
SUNNY FB14,SUNNY
SUNNY N16,SUNNY
SUNNY N17,SUNNY
MARCH K11,MARCH
MARCH AK12,MARCH
AD WAGON LY11,AD WAGON
AD WAGON LY12,AD WAGON
WINGROAD,WINGROAD
X-TRAIL,X-TRAIL
CARAVAN VRGE 24,CARAVAN
CARAVAN VPE25,CARAVAN
VANNET LD20,VANETTE
VANNET SK82,VANETTE
VANNET SK28,VANETTE
SERENA,SERENA
LARGO,VANETTE
CLIPPER BUDY VAN,CLIPPER
PETROL,PATROL
SUNNY,SUNNY
NAVARA,NAVARA
CLIPPER TRUCK,CLIPPER
CARAVAN VWGE 25,CARAVAN
SUNNY EX SALOON,SUNNY
CARAVAN KG-VWGE24,CARAVAN
VANETTE KR-SKF2MN,VANETTE
TC-SK82VN VANNETE,VANETTE
SUNNY CFAN16,SUNNY
SK82TN,VANETTE
VANETTE GA-SS88HN,VANETTE
GC-SK82VN,VANETTE
ADF-SKF2VN,VANETTE
CARAVAN,CARAVAN
GAV AJC23,VANETTE
TIIDA,TIIDA
VANETTE,VANETTE
SS28VN,VANETTE
VANETTE KR SKF2LN,VANETTE
CARAVAN VWME25,CARAVAN
PRIMERA,PRIMERA
MARCH DBA-AK12,MARCH
MARCH TA-K11,MARCH
E-B13-SUNNY,SUNNY
AD STATION WAGON,AD WAGON
CEFIRO,CEFIRO
TA-QGE25,CARAVAN
LC-VPE25,CARAVAN
KF-SK22VN,VANETTE
VVJC23,SERENA
ADF-CWMGE25,CARAVAN
S-VUJC22,VANETTE
VRGE24,CARAVAN
TIIDA LATIO,TIIDA
KJ-SK22VN,VANETTE
GE-VPE25-CARAVAN,CARAVAN
UA-FB15,SUNNY
KR-VWE25,CARAVAN
CARAVAN VX,CARAVAN
PRESEA,PRESEA
ADF-SKF2LN,VANETTE
SAFARI,PATROL
VRE24,CARAVAN
GBD-U71V,CLIPPER
GF-FB15,SUNNY
BROWNY-DOUBLE CAB,DOUBLE CAB
X-SB13,SUNNY
KG-SK22TN,VANETTE
SUNNY 1.5A,SUNNY
ADF-CWGE25,CARAVAN
AD WAGON UB-VY11,AD WAGON
GE-SK82MN VANETTE,VANETTE
E-B14,SUNNY
PULSAR,PULSAR
CARAVAN TA-QGE25,CARAVAN
PRESEA R10,PRESEA
CEFIRO 2308M,CEFIRO
CARAVAN VPE24,CARAVAN
VANETTE KF-SK22VN,VANETTE
E-B12SUNNY,SUNNY
CRGE24,CARAVAN
G8D-U71V CLIPPER,CLIPPER
VUJC22,VANETTE
SUNNY Q-5B13,SUNNY
KJ-SK22VW VANETTE,VANETTE
KJ-SK22VW VANETTE,VANETTE
KG-VWGE24,CARAVAN
KB-SS28MN,VANETTE
BHAB13-SUNNY,SUNNY
E-FB12-SUNNY,SUNNY
SILPHY TAFG 10,SYLPHY
ADF-VWE25-CARAVAN,CARAVAN
BCAB 13,SUNNY
U-CRGE24,CARAVAN
AD WAGON GJ-VFY11,AD WAGON
DBA - G11,SYLPHY
U-VRGE24,CARAVAN
E HB 12 SUNNY,SUNNY
DBA-AK12,MARCH
ABA-DR17W CLIPPER,CLIPPER
SUNNY,SUNNY
E-FB14,SUNNY
GE-VPE24,CARAVAN
GC-SK82TN,VANETTE
KF-SK22TN FREEZER,VANETTE
CARAVAN VTE24,CARAVAN
UVRE24,CARAVAN
KB-VVJC23,SERENA
WINGROAD TA WFY11,WINGROAD
KF-SK22LN,VANETTE
KG-CWGE24,CARAVAN
BCAB13 SUNNY,SUNNY
SUNNY EX SALOON KE-SB15,SUNNY
E-FB13-CLOSED,SUNNY
VANETTE DBF- VM20,VANETTE
R-VY10-SUNNY,SUNNY
SUNNY EX,SUNNY
KG VWE24,CARAVAN
KF-SK22TN,VANETTE
N-VRGE24,CARAVAN
SUNNY 1.5 M,SUNNY
VWMGE24-CARAVAN,CARAVAN
E-FN14,PULSAR
KG-DWGE25,CARAVAN
KG-DWGE24,CARAVAN
VUJNC22,VANETTE
SUNNY 1.6A,SUNNY
AD WAGON,AD WAGON
TC-SK82TN,VANETTE
E-FB13-SUNNY,SUNNY
KR-VWME25,CARAVAN
KQ-SKF2VN,VANETTE
R11,PRESEA
GF-QU14,BLUEBIRD
TA-AK11-MARCH,MARCH
SU14,BLUEBIRD
CBA-AK12,MARCH
VENETTE ADF SKF2TFN SINGLE CAB,VANETTE
UA-AK12,MARCH
VRMGE24,CARAVAN
TA-FB15,SUNNY
DBA SC11,TIIDA
GE-VPGE24,CARAVAN
TB- BVFY11,AD WAGON
HOMY VRGE24,CARAVAN
GA-SE88TN,VANETTE
KR-CWGE25-CARAVAN,CARAVAN
E-WY10,VANETTE
GA-SS88HN,VANETTE
SYLPHY TA-FG10,BLUEBIRD
SE88TN,VANETTE
KC-VRMGE24,CARAVAN
E-FN15,PULSAR
UA-QG10,BLUEBIRD
E-K10,MARCH
ARME24,CARAVAN
CARAVENE VYE24,CARAVAN
UA-WFY11,WINGROAD
SB 14,SUNNY
2WD DOUBLE CAB,DOUBLE CAB
KB-SE28TN,VANETTE
GH-K11,MARCH
UA-K12,MARCH
DRGE24,CARAVAN
Q-SN14,PULSAR
GC-CQGE25,CARAVAN
NAVARA D/C OUTLOW DC,NAVARA
VB 11,AD WAGON
CARAVAN ADF-CWGE25,CARAVAN
BLUEBERD SYLPHY,SYLPHY
CARAVAN GX,CARAVAN
LEAF ELECTRIC CAR / ZAA-ZEO,LEAF
KD-SKF2TN,VANETTE
X-TRAIL JEEP,X-TRAIL
DOUBLE CAB,DOUBLE CAB
BBAB13-SUNNY,SUNNY
LE-U71T FREEZER TRUC,CLIPPER
KB-SS28VN,VANETTE
TRAD SUNNY,SUNNY
KR-SKF2VN,VANETTE
PRESEA,PRESEA
URVAN E26,CARAVAN
GA15 SUNNY,SUNNY
KD-KRGE24,CARAVAN
S-VSB11 (WAGON),AD WAGON
ZAA -ZEO-LEAF,LEAF
TC-SK82MN,VANETTE
HBD-DR64V,CLIPPER
CBF-VRE25,CARAVAN
ZAA-AZE0 LEAF,LEAF
DX-VY10,AD WAGON
LEAF ELECTRIC,LEAF
U71V,CLIPPER
FB12-SUNNY,SUNNY
LDF-CWGE25-DX,CARAVAN
NV350 CARAVAN LDF-VW2E26,CARAVAN
B14 SUNNY,SUNNY
B13 SUNNY,SUNNY
E-FB12-SUNNY,SUNNY
LDF VWE25-CARAVAN DX,CARAVAN
LDF-VW6E26,CARAVAN
LDF-VW2E26,CARAVAN
EBD-U71V,CLIPPER
U-VRMGE 24,CARAVAN
LDF-VWE25,CARAVAN
LEAF ACCENTA,LEAF
VANETTE HALF BODY,VANETTE
DAA-HT32 X-TRAIL,X-TRAIL
VJGE 24 URVAN,CARAVAN
CBF-VR2E26 CARAVAN,CARAVAN
EBD-DR64V,CLIPPER
BLUE BIRD TA-FG10,BLUEBIRD
CBA-FG10,BLUEBIRD
U71T,CLIPPER
GBD-U71T,CLIPPER
CARAVAN NV 350,CARAVAN
LEAF X,LEAF
KG-SK22VN,VANETTE
