vehicle_price,make,model,year,transmision,engine_capacity,fuel_type
9800000,HONDA,VEZEL,2014,MANUAL,700,PETROL
6990000,HONDA,CIVIC,2008,AUTOMATIC,1595,PETROL
9550000,HONDA,VEZEL,2014,AUTOMATIC,1500,HYBRID
6490000,HONDA,FIT,2012,AUTOMATIC,1330,HYBRID
6200000,HONDA,CIVIC,2008,AUTOMATIC,1597,HYBRID
9500000,HONDA,GRACE,2014,AUTOMATIC,1500,HYBRID
14500000,HONDA,VEZEL,2017,AUTOMATIC,2000,PETROL
5650000,HONDA,CIVIC,2006,AUTOMATIC,1800,PETROL
8500000,HONDA,FIT,2015,AUTOMATIC,1500,PETROL
11800000,HONDA,GRACE,2017,AUTOMATIC,1500,HYBRID
7790000,HONDA,CRV,2007,MANUAL,2000,PETROL
5950000,HONDA,CRV,2003,AUTOMATIC,2000,PETROL
11750000,HONDA,VEZEL,2016,AUTOMATIC,1500,HYBRID
11500000,HONDA,CIVIC,2017,AUTOMATIC,1000,PETROL
6575000,HONDA,CIVIC,2010,AUTOMATIC,1300,PETROL
9550000,HONDA,GRACE,2016,AUTOMATIC,1500,PETROL
5300000,HONDA,CIVIC,2017,MANUAL,660,PETROL
6250000,HONDA,CIVIC,2008,AUTOMATIC,1500,PETROL
16700000,HONDA,VEZEL,2019,AUTOMATIC,1500,PETROL
7500000,HONDA,FIT,2013,AUTOMATIC,1490,HYBRID
3175000,HONDA,CIVIC,1998,MANUAL,1500,PETROL
4490000,HONDA,HRV,2002,AUTOMATIC,1600,PETROL
8800000,HONDA,FIT,2015,AUTOMATIC,1500,HYBRID
10100000,HONDA,VEZEL,2015,AUTOMATIC,1500,HYBRID
8950000,HONDA,VEZEL,2013,AUTOMATIC,1500,HYBRID
14750000,HONDA,VEZEL,2018,AUTOMATIC,1500,HYBRID
9600000,HONDA,VEZEL,2014,AUTOMATIC,1500,HYBRID
11600000,HONDA,VEZEL,2016,AUTOMATIC,1500,HYBRID
12750000,HONDA,VEZEL,2016,AUTOMATIC,1500,HYBRID
6250000,HONDA,INSIGHT,2009,AUTOMATIC,1300,HYBRID
8600000,HONDA,VEZEL,2014,AUTOMATIC,1490,HYBRID
7700000,HONDA,FIT,2014,AUTOMATIC,1490,PETROL
8600000,HONDA,FIT,2014,AUTOMATIC,1500,PETROL
23200000,HONDA,CRV,2018,AUTOMATIC,1900,PETROL
5900000,HONDA,CIVIC,2007,AUTOMATIC,1600,PETROL
4725000,HONDA,FIT,2007,AUTOMATIC,1330,PETROL
5975000,HONDA,FIT,2011,AUTOMATIC,1300,HYBRID
5890000,HONDA,FIT,2011,MANUAL,1300,PETROL
10575000,HONDA,GRACE,2017,AUTOMATIC,1500,HYBRID
8950000,HONDA,GRACE,2014,AUTOMATIC,1500,HYBRID
9650000,HONDA,VEZEL,2014,AUTOMATIC,1500,HYBRID
6275000,HONDA,INSIGHT,2011,AUTOMATIC,1330,HYBRID
6300000,HONDA,CRV,2005,AUTOMATIC,2350,PETROL
14250000,HONDA,CIVIC,2018,AUTOMATIC,1000,PETROL
9190000,HONDA,GRACE,2015,AUTOMATIC,1500,PETROL
8850000,HONDA,VEZEL,2014,AUTOMATIC,1500,HYBRID
7200000,HONDA,FIT,2013,AUTOMATIC,1500,HYBRID
6140000,HONDA,FIT,2013,AUTOMATIC,1290,PETROL
6200000,HONDA,N WGN,2016,MANUAL,900,PETROL
6500000,HONDA,N WGN,2018,AUTOMATIC,650,PETROL
7450000,HONDA,FIT,2012,AUTOMATIC,1500,PETROL
13750000,HONDA,GRACE,2018,AUTOMATIC,1500,HYBRID
7050000,HONDA,INSIGHT,2012,AUTOMATIC,1300,HYBRID
8600000,HONDA,FIT,2014,MANUAL,750,PETROL
8100000,HONDA,FIT,2014,AUTOMATIC,1490,HYBRID
8800000,HONDA,FIT,2015,AUTOMATIC,1496,PETROL
2925000,HONDA,ACTY,2012,AUTOMATIC,2440,PETROL
5900000,HONDA,FIT,2012,AUTOMATIC,1350,HYBRID
9000000,HONDA,VEZEL,2014,AUTOMATIC,1800,PETROL
9225000,HONDA,VEZEL,2014,AUTOMATIC,1500,PETROL
8250000,HONDA,FIT,2013,AUTOMATIC,1500,PETROL
9390000,HONDA,VEZEL,2014,AUTOMATIC,1500,PETROL
7990000,HONDA,FIT,2014,AUTOMATIC,1000,HYBRID
7500000,HONDA,SHUTTLE,2012,AUTOMATIC,1500,HYBRID
14800000,HONDA,CIVIC,2018,AUTOMATIC,1000,PETROL
10500000,HONDA,VEZEL,2014,AUTOMATIC,1490,HYBRID
8550000,HONDA,FIT,2014,AUTOMATIC,1500,PETROL
13675000,HONDA,CIVIC,2018,AUTOMATIC,1000,PETROL
16250000,HONDA,VEZEL,2019,AUTOMATIC,1500,HYBRID
8500000,HONDA,FIT,2013,AUTOMATIC,1500,HYBRID
9700000,HONDA,GRACE,2016,AUTOMATIC,1500,HYBRID
9690000,HONDA,VEZEL,2014,AUTOMATIC,1500,HYBRID
9865000,HONDA,VEZEL,2014,AUTOMATIC,1500,HYBRID
14750000,HONDA,CIVIC,2019,AUTOMATIC,1000,PETROL
6595000,HONDA,FIT,2013,AUTOMATIC,1300,PETROL
9500000,HONDA,VEZEL,2014,AUTOMATIC,1500,HYBRID
2475000,HONDA,LOGO,2002,AUTOMATIC,1300,PETROL
8550000,HONDA,FIT,2014,AUTOMATIC,1300,PETROL
9790000,HONDA,GRACE,2015,AUTOMATIC,1496,HYBRID
9600000,HONDA,VEZEL,2014,AUTOMATIC,1400,HYBRID
9675000,HONDA,VEZEL,2014,AUTOMATIC,1500,HYBRID
9475000,HONDA,VEZEL,2014,AUTOMATIC,1490,HYBRID
12500000,HONDA,VEZEL,2016,AUTOMATIC,1490,HYBRID
7600000,HONDA,FIT,2014,AUTOMATIC,1500,PETROL
9950000,HONDA,GRACE,2016,AUTOMATIC,1500,PETROL
15200000,HONDA,VEZEL,2018,AUTOMATIC,1500,HYBRID
7500000,HONDA,FIT,2013,AUTOMATIC,1500,PETROL
10900000,HONDA,GRACE,2017,AUTOMATIC,1500,PETROL
7680000,HONDA,FIT,2014,AUTOMATIC,1200,HYBRID
8890000,HONDA,FIT,2015,AUTOMATIC,1498,HYBRID
7650000,HONDA,FIT,2015,AUTOMATIC,1500,PETROL
