vehicle_price,make,model,year,transmision,engine_capacity,fuel_type
1650000,SUZUKI,ALTO LXI,1997,MANUAL,650,PETROL
1000000,SUZUKI,ALTO LXI,1998,MANUAL,800,PETROL
2600000,SUZUKI,ALTO LXI,2000,MANUAL,800,PETROL
6200000,SUZUKI,SPACIA,2016,AUTOMATIC,600,HYBRID
2300000,SUZUKI,ALTO LXI,2002,MANUAL,660,PETROL
6900000,SUZUKI,WAGON R FZ SAFETY,2019,AUTOMATIC,650,HYBRID
6725000,SUZUKI,WAGON R FZ,2019,AUTOMATIC,650,HYBRID
2950000,SUZUKI,ALTO JAPAN,2002,AUTOMATIC,650,PETROL
3175000,SUZUKI,A STAR,2010,MANUAL,1000,PETROL
6725000,SUZUKI,WAGON R FX,2019,AUTOMATIC,650,HYBRID
6400000,SUZUKI,WAGON R FX,2019,AUTOMATIC,660,HYBRID
5590000,SUZUKI,HUSTLER,2015,AUTOMATIC,660,PETROL
6250000,SUZUKI,WAGON R FZ,2019,AUTOMATIC,650,PETROL
1430000,SUZUKI,MARUTI 800,2002,MANUAL,650,PETROL
2975000,SUZUKI,ALTO JAPAN,2002,MANUAL,650,PETROL
3275000,SUZUKI,ALTO JAPAN,2002,AUTOMATIC,650,PETROL
2075000,SUZUKI,ALTO LXI,2003,MANUAL,1061,PETROL
4475000,SUZUKI,EVERY,2014,AUTOMATIC,650,PETROL
2390000,SUZUKI,EVERY,1999,MANUAL,650,PETROL
3350000,SUZUKI,ESTILO,2010,MANUAL,998,PETROL
1540000,SUZUKI,MARUTI 800,2004,MANUAL,796,PETROL
7950000,SUZUKI,WAGON R STINGRAY,2018,AUTOMATIC,650,PETROL
3050000,SUZUKI,ALTO JAPAN,2003,AUTOMATIC,650,PETROL
3150000,SUZUKI,ALTO JAPAN,2003,AUTOMATIC,650,PETROL
1175000,SUZUKI,MARUTI 800,2002,MANUAL,650,PETROL
3090000,SUZUKI,SWIFT,2006,AUTOMATIC,1500,PETROL
3175000,SUZUKI,ALTO JAPAN,2003,AUTOMATIC,650,PETROL
4490000,SUZUKI,CELERIO VXI,2014,AUTOMATIC,1000,PETROL
7500000,SUZUKI,WAGON R STINGRAY,2018,AUTOMATIC,650,PETROL
3225000,SUZUKI,ALTO JAPAN,2003,AUTOMATIC,660,PETROL
