vehicle_price,make,model,year,transmision,engine_capacity,fuel_type
6875000,TOYOTA,AQUA,2012,AUTOMATIC,1490,HYBRID
1275000,TOYOTA,COROLLA,1986,MANUAL,1300,PETROL
17450000,TOYOTA,PREMIO,2018,AUTOMATIC,1490,PETROL
9150000,TOYOTA,ALLION,2010,AUTOMATIC,1500,PETROL
7290000,TOYOTA,VITZ,2019,AUTOMATIC,1000,PETROL
7990000,TOYOTA,AXIO,2010,AUTOMATIC,1490,PETROL
10200000,TOYOTA,HIACE,2007,MANUAL,3000,DIESEL
6700000,TOYOTA,AQUA,2013,AUTOMATIC,1300,PETROL
7200000,TOYOTA,AQUA,2013,AUTOMATIC,1300,PETROL
5490000,TOYOTA,VITZ,2007,AUTOMATIC,990,PETROL
4890000,TOYOTA,CAMRY,2002,AUTOMATIC,2990,PETROL
13500000,TOYOTA,HIACE,2007,AUTOMATIC,3000,DIESEL
6490000,TOYOTA,PIXIS,2018,AUTOMATIC,650,PETROL
2390000,TOYOTA,COROLLA,1995,AUTOMATIC,1500,PETROL
2450000,TOYOTA,COROLLA,1997,AUTOMATIC,1970,DIESEL
8400000,TOYOTA,VITZ,2017,AUTOMATIC,996,PETROL
730000,TOYOTA,CARINA,1985,MANUAL,1500,PETROL
7500000,TOYOTA,HIACE,1998,AUTOMATIC,2980,DIESEL
6650000,TOYOTA,AQUA,2012,AUTOMATIC,1500,HYBRID
6150000,TOYOTA,HIACE,1993,MANUAL,2440,DIESEL
6575000,TOYOTA,AQUA,2012,AUTOMATIC,1300,PETROL
6475000,TOYOTA,BELTA,2009,AUTOMATIC,1000,PETROL
4450000,TOYOTA,VIOS,2003,AUTOMATIC,1500,PETROL
11000000,TOYOTA,AXIO,2015,AUTOMATIC,1500,PETROL
6475000,TOYOTA,AQUA,2012,AUTOMATIC,1500,HYBRID
15300000,TOYOTA,HIACE,2014,AUTOMATIC,1990,PETROL
3250000,TOYOTA,CORONA,1997,AUTOMATIC,1970,DIESEL
3800000,TOYOTA,RAV4,1999,MANUAL,2000,PETROL
5450000,TOYOTA,NOAH,1998,MANUAL,1500,DIESEL
12400900,TOYOTA,PREMIO,2012,AUTOMATIC,1500,PETROL
16800000,TOYOTA,CHR,2018,AUTOMATIC,1200,PETROL
5500000,TOYOTA,COROLLA,2006,MANUAL,1300,PETROL
15200000,TOYOTA,CHR,2018,AUTOMATIC,1200,PETROL
11000000,TOYOTA,HILUX,2010,MANUAL,2500,DIESEL
14350000,TOYOTA,PREMIO,2014,AUTOMATIC,1500,PETROL
12350000,TOYOTA,AXIO,2016,AUTOMATIC,1490,PETROL
1550000,TOYOTA,CARINA,1991,MANUAL,1890,DIESEL
12975000,TOYOTA,AXIO,2016,AUTOMATIC,1500,PETROL
6650000,TOYOTA,PRIUS,2012,AUTOMATIC,1500,HYBRID
775000,TOYOTA,COROLLA,1985,MANUAL,1300,PETROL
10500000,TOYOTA,ALLION,2011,AUTOMATIC,1500,PETROL
14850000,TOYOTA,CHR,2017,AUTOMATIC,1200,PETROL
5000000,TOYOTA,VITZ,2007,AUTOMATIC,1000,PETROL
11800000,TOYOTA,PREMIO,2013,AUTOMATIC,1500,PETROL
7295000,TOYOTA,AQUA,2013,AUTOMATIC,1500,HYBRID
2450000,TOYOTA,HIACE,1983,MANUAL,2800,DIESEL
5390000,TOYOTA,VITZ,2008,AUTOMATIC,1000,PETROL
4600000,TOYOTA,VITZ,2005,MANUAL,1000,PETROL
5500000,TOYOTA,HIACE,1993,MANUAL,600,DIESEL
6995000,TOYOTA,AQUA,2013,AUTOMATIC,1500,PETROL
12500000,TOYOTA,LAND CRUISER PRADO,1999,AUTOMATIC,3000,DIESEL
7675000,TOYOTA,VITZ,2015,AUTOMATIC,1000,PETROL
6990000,TOYOTA,AQUA,2014,AUTOMATIC,1000,PETROL
8850000,TOYOTA,VITZ,2018,AUTOMATIC,1000,PETROL
4600000,TOYOTA,HILUX,1990,MANUAL,2500,DIESEL
4400000,TOYOTA,COROLLA,2002,MANUAL,1300,PETROL
8500000,TOYOTA,AQUA,2015,AUTOMATIC,1490,PETROL
1400000,TOYOTA,COROLLA,1998,MANUAL,2000,PETROL
15000000,TOYOTA,PRIUS,2016,AUTOMATIC,1800,HYBRID
6000000,TOYOTA,HIACE,1997,MANUAL,3000,PETROL
6950000,TOYOTA,BELTA,2010,AUTOMATIC,1300,PETROL
21000000,TOYOTA,HIACE,2015,AUTOMATIC,3000,PETROL
2800000,TOYOTA,COROLLA,1997,AUTOMATIC,1500,PETROL
8250000,TOYOTA,VITZ,2017,AUTOMATIC,1000,PETROL
5800000,TOYOTA,VIOS,2007,AUTOMATIC,1500,PETROL
14000000,TOYOTA,HIACE,2011,AUTOMATIC,3000,PETROL
7450000,TOYOTA,VITZ,2015,AUTOMATIC,1000,PETROL
7290000,TOYOTA,AQUA,2014,AUTOMATIC,1500,PETROL
7575000,TOYOTA,PRIUS,2011,AUTOMATIC,1790,HYBRID
11850000,TOYOTA,PREMIO,2013,AUTOMATIC,1400,PETROL
9200000,TOYOTA,HILUX,2007,MANUAL,2500,DIESEL
19000000,TOYOTA,PREMIO,2018,AUTOMATIC,1500,PETROL
9450000,TOYOTA,AXIO,2017,AUTOMATIC,1500,PETROL
7650000,TOYOTA,PRIUS,2009,AUTOMATIC,1800,HYBRID
5850000,TOYOTA,COROLLA,2008,AUTOMATIC,1600,PETROL
10500000,TOYOTA,LAND CRUISER PRADO,1997,MANUAL,1200,DIESEL
8575000,TOYOTA,ALLION,2008,AUTOMATIC,1500,PETROL
24900000,TOYOTA,HIACE,2017,AUTOMATIC,3000,DIESEL
1950000,TOYOTA,CORONA,1992,MANUAL,1500,PETROL
9150000,TOYOTA,ALLION,2008,AUTOMATIC,1496,PETROL
5490000,TOYOTA,VITZ,2008,AUTOMATIC,1000,PETROL
2875000,TOYOTA,SPRINTER,1996,AUTOMATIC,1500,PETROL
5325000,TOYOTA,VITZ,2008,AUTOMATIC,1000,PETROL
3725000,TOYOTA,VITZ,2002,AUTOMATIC,1000,PETROL
4400000,TOYOTA,CARINA,1998,AUTOMATIC,1467,PETROL
6500000,TOYOTA,RAV4,2001,AUTOMATIC,1800,PETROL
7275000,TOYOTA,AQUA,2014,AUTOMATIC,1500,HYBRID
2985000,TOYOTA,TOWNACE,1991,MANUAL,2190,PETROL
2900000,TOYOTA,STARLET,1996,MANUAL,1450,PETROL
2450000,TOYOTA,COROLLA,1996,AUTOMATIC,1970,DIESEL
9190000,TOYOTA,VITZ,2018,AUTOMATIC,1000,PETROL
7750000,TOYOTA,VITZ,2016,AUTOMATIC,1000,PETROL
7950000,TOYOTA,VITZ,2016,AUTOMATIC,1000,PETROL
8000000,TOYOTA,ALLION,2007,AUTOMATIC,1500,PETROL
5300000,TOYOTA,AVANZA,2011,MANUAL,1300,PETROL
7300000,TOYOTA,HIACE,1995,MANUAL,3000,DIESEL
3875000,TOYOTA,HIACE,1991,MANUAL,2500,DIESEL
8650000,TOYOTA,HIACE,2000,MANUAL,3000,DIESEL
6890000,TOYOTA,AXIO,2007,AUTOMATIC,1500,PETROL
5650000,TOYOTA,PRIUS,2008,AUTOMATIC,1500,PETROL
1275000,TOYOTA,COROLLA,1989,MANUAL,1450,DIESEL
5350000,TOYOTA,VITZ,2007,AUTOMATIC,1000,PETROL
5500000,TOYOTA,VITZ,2009,AUTOMATIC,998,PETROL
7150000,TOYOTA,VITZ,2015,AUTOMATIC,998,PETROL
7500000,TOYOTA,AQUA,2012,AUTOMATIC,1500,PETROL
11950000,TOYOTA,PREMIO,2013,AUTOMATIC,1500,PETROL
7250000,TOYOTA,AQUA,2013,AUTOMATIC,1500,HYBRID
10500000,TOYOTA,LAND CRUISER PRADO,1997,MANUAL,3000,DIESEL
9850000,TOYOTA,HIACE,2002,AUTOMATIC,2980,DIESEL
9545000,TOYOTA,HIACE,2000,AUTOMATIC,3000,DIESEL
6500000,TOYOTA,BELTA,2011,AUTOMATIC,1000,PETROL
5690000,TOYOTA,PIXIS,2017,AUTOMATIC,660,PETROL
7600000,TOYOTA,VITZ,2016,AUTOMATIC,1000,PETROL
7350000,TOYOTA,PRIUS,2009,AUTOMATIC,1800,PETROL
5175000,TOYOTA,VITZ,2007,AUTOMATIC,1000,PETROL
5700000,TOYOTA,VITZ,2007,AUTOMATIC,1300,PETROL
8500000,TOYOTA,VITZ,2017,AUTOMATIC,1500,PETROL
5800000,TOYOTA,VITZ,2007,AUTOMATIC,1300,PETROL
3200000,TOYOTA,TOWNACE,1994,MANUAL,1970,DIESEL
8500000,TOYOTA,RAV4,2007,AUTOMATIC,2400,PETROL
7325000,TOYOTA,ALLION,2006,AUTOMATIC,1500,PETROL
8600000,TOYOTA,VITZ,2017,AUTOMATIC,1000,PETROL
6775000,TOYOTA,AQUA,2012,AUTOMATIC,1500,HYBRID
6950000,TOYOTA,VITZ,2015,AUTOMATIC,1000,PETROL
6540000,TOYOTA,NOAH,2002,AUTOMATIC,2180,DIESEL
7250000,TOYOTA,AQUA,2013,AUTOMATIC,1300,HYBRID
11675000,TOYOTA,PREMIO,2012,AUTOMATIC,1500,PETROL
6750000,TOYOTA,AQUA,2012,AUTOMATIC,1490,HYBRID
950000,TOYOTA,CARINA,1987,MANUAL,1500,PETROL
6925000,TOYOTA,AXIO,2007,AUTOMATIC,1500,PETROL
2950000,TOYOTA,COROLLA,1997,AUTOMATIC,2000,DIESEL
975000,TOYOTA,COROLLA,1986,MANUAL,1200,PETROL
11075000,TOYOTA,AXIO,2016,AUTOMATIC,1500,HYBRID
